,audit_observation,status_of_implementation,management_action,references,source,status_score,status
434,"17.land account is misstated due to the non- reconciliation of its general ledger balance of p758,838.06 against declaration of real property maintained by the municipal treasurer with a total assessed value of p817,170.00. the municipal treasurer and accountant, in coordination with the municipal assessor, should exert effort to reconcile all declarations of real property of municipal owned lots with accounting books.",not implemented,"although an inventory committee was already created, they have not reconciled all declarations of real properties with accounting books.",aar 2007 2010,01-malabuyoc2013_audit report.pdf,0.0,0
435,"18.receivables amounting to p184,008.06 were of doubtful validity, hence carrying the same in the books of accounts tend to overstate the current assets of the municipality by the same amount. require the municipal accountant to make representation to the sanguniang bayan to pass a resolution requesting for write- off of dormant and uncollectible accounts receivables addressed to the adjudication and settlement board of the commission on audit, supported with the required documents .",not implemented,the sangunian bayan has not yet passed a resolution for writing-off of the dormant and uncollectible accounts receivables to the adjudication and settlement board of the coa.,aar 2007,01-malabuyoc2013_audit report.pdf,0.0,0
436,"19.several liability accounts are of doubtful validity due to the presence of unidentified beginning balances totaling p1,469,036.00 the accounting office should seriously verify the details of the beginning balances of the affected liability accounts by tracing available accounting records so that appropriate actions can be made to reflect accurate liability balances in the financial statements.",not implemented,the municipal accountant is still verifying the nature and validity of the claims after which reversions will be made,aar 2001,01-malabuyoc2013_audit report.pdf,0.0,0
437,"20.disbursement amounting to p2,134,060.32 could have been properly charged to general fund proper instead of 205 dev. fund and utilized to more desirable socio-economic development and environmental management projects for the benefit of a greater majority of constituents had the municipality's annual investment plan been properly formulated in line with the dilg & dbm joint memo. cir. no. 1 s. 2005. the municipal planning and development coordinator in coordination with the local development council, local sangunian,department heads,concerned citizen advocacy groups, ngos and the private sector should prioritize development projects covered in the dilg & dbm joint memorandum cir. no. 1, s. 2005 in the preparation of the municipality's annual investment plan to maximize the use of the 20% development fund.",not implemented,none. in fact same type of disbursement and projects had been made in 2009,aar 2007,01-malabuyoc2013_audit report.pdf,0.0,0
438,"21.extra cash gift amounting to p816,000.00 were granted to officials and employees even if 55% personal services limitation was already exceeded in violation to dbm memorandum no. 2006-51 dated december 18, 2006. 26. management should limit the granting of additional benefits for personal services within the 55% level as provided by law and to require all officials and employees to refund the amount of p12,000.00 each.",partially implemented,none,aar 2006,01-malabuyoc2013_audit report.pdf,0.5,1
439,"1. the municipal treasurer kept material amount of cash in vault totaling p1,138,709.44 as of december 31, 2012, contrary to section 32 of ngas manual for local government units, volume 1, thereby exposing the cash at risk and misuse. 1. in view of the foregoing, we recommend that the municipal treasurer deposit all her collections intact and daily to avoid accumulation of cash collection in the vault, to preclude the risk of possible loss or misappropriation.",partially implemented,the municipal treasurer will deposit her weekly collections every friday.,aar 2012,01-moalboal2013_audit report.pdf,0.5,1
440,"2. real property tax collections from december 19-23, 2012 totaling p436,136.92 were not deposited on the following banking day. further, only the 50% sefshare of these collections were recorded in the books, the 50% general fund share totaling p 218,068.46 was not recorded in the books due to non preparation of report of collection and deposit by the treasurer contrary to sections 32 and 35 of ngas manual for local government units, volume i. 2. in view of the foregoing, we recommend that the municipal treasurer deposit all her collections daily and intact pursuant to section 32 of ngas volume 1 andrequire the liquidating officer (lo) to prepare simultaneous report of collection and deposit for the 50% rpt share and the 50% sef share.",implemented,nan,aar 2012,01-moalboal2013_audit report.pdf,1.0,2
441,"3. temporary deposit of the daily collections with rural bank of barili inc. (rbbi) totaling p 1,976,067.06 were not transferred to land bank, carcar branch at month-end contrary to the provision of section 311 of r a 7160. 3. in view of the foregoing, we recommend that management advise the municipal treasurer to transfer immediately the municipal collections temporarily deposited in rbbi to land bank carcar branch and if possible assign additional personnel to the treasury division to complement the municipal treasurer in her daily transactions.",implemented,nan,aar 2012,01-moalboal2013_audit report.pdf,1.0,2
442,"4. financial assistance received for certain programs/projects in cy 2011 and cy 2012 totaling p 2,203,148.00 were recorded in due to other ngas (416) in the general fund contrary to section 95 of ngas manual for local government unit, volume i and section 4 of p.d, 1445. 4. we recommend that management require the accountant to transfer the financial assistance received with intended projects/purpose, recorded in general fund to trust fund because general fund is for transactions that needs budgetary authorization from the sangguniang bayan.",implemented,the total amount was transferred to trust fund.,aar 2012,01-moalboal2013_audit report.pdf,1.0,2
443,"5. the validity, correctness and existence of property, plant and equipment (ppe) amounting to p93,848,603.06 were still not determined due to the continued failure of the inventory committee to conduct complete physical inventory and prepare a comprehensive inventory report. further, property ledger cards and stock cards maintained by the accounting office and gso respectively, were still inadequate and not updated, contrary to section 13 and sec. 45 of the new government accounting system vol. ii. 5. we reiterate our previous year's audit recommendation for the lgu to comply with the provisions in sec. 124 of ngas manual vol. 1 on the conduct of the annual physical inventory of its property and equipment and prepare the report of the physical count of property, plant and equipment with complete information. the municipal accountant should prepare and update equipment ledger cards and reconcile these with the physical inventory report made by the inventory committee.",partially implemented,nan,aar 2012 2011 2010 2009,01-moalboal2013_audit report.pdf,0.5,1
444,"6. drivers' trip tickets in support of payments for gasoline and oil amounting to p3,659,750.31 were either not prepared or properly accomplished and lacked the necessary information required in the rules and regulations on fuel consumption of government vehicles under coa circular no.75-6 and as enumerated in the manual on audit of fuel consumption of government vehicles. thus, monitoring of fuel consumption in order to minimize wasteful, excessive and unnecessary expenditures for government vehicles could not be facilitated. 6. we recommend that drivers be required to prepare and submit properly accomplished and duly approved trip tickets and monthly report of official travels to monitor the use of government vehicles and to control fuel consumption, pursuant to coa circular no. 75-6. no payments for fuel consumption of motor vehicles should be made unless adequately supported with these trip tickets.",implemented,,aar 2011,01-moalboal2013_audit report.pdf,1.0,2
445,"7. the payment of honoraria as a regular monthly compensation to the members of the bids and awards committee (bac) and the technical working group (twg) was not in conformity with the pertinent provisions of budget circular (bc) nos. 2004-5a and 2007-3 dated october 7, 2005 and november 29, 2007 respectively. consequently, the amount of p413,936.25 paid for the period january to december 2010 was considered excessive. 7. it is recommended that the amount of honoraria that should have been paid should be recomputed and the excess payment made be refunded by the concerned personnel. henceforth, the lgu should effect the payment of honoraria only after the successful completion of procurement projects, and subject to the conditions provided under bc nos. 2204- 5a and 2007-3. the list of these projects, indicating therein the dates the contracts had been awarded, should be attached to the disbursement voucher.",implemented,nan,aar 2010,01-moalboal2013_audit report.pdf,1.0,2
446,"8. total cash in vault balances per cashbook of p1,045,333.95 fell short from its controlling figure balance in the general ledger of p1,532,246.72 due to the failure of the municipal treasurer and designated municipal accountant to regularly reconcile these cash balances as required under sec. 181(c) of the gaam thus casting doubt on the accuracy of their recorded balances in the financial statements. 8. it is recommended that the municipal treasurer and the designated municipal accountant should regularly reconcile the balances of their cash in vault so that discrepancies can be immediately detected and adjustments, if any can be promptly made in the books.",not implemented,,aar 2010,01-moalboal2013_audit report.pdf,0.0,0
447,"9. unliquidated cash advances as of december 31, 2010 had increased to p3,050,714.54 due to the failure of management to strictly enforce the rules and regulations on the grant and liquidation of cash advances provided under coa circular 97- 002 and section 89 of presidential decree (pd) 1445. 9. we recommend that management should adhere strictly to the provisions of coa circular 97-002 and sec.89 of pd 1445 on the grant and utilization of cash advances and closely monitor their liquidation to avoid their accumulation. they should also make constant follow-ups with the coa head office on the status of the liquidation of the cash advances for intelligence fund previously submitted to be informed if these had already been acted upon.",partially implemented,nan,aar 2010,01-moalboal2013_audit report.pdf,0.5,1
448,"10. receivables from real property tax and special education tax were not adequately monitored resulting in the accumulation of uncollected taxes of p7,777,559.35 per books at year-end. 10. we recommend that concerned officials of the municipality should conduct intensive tax campaign in the collection of real property tax and special education tax to reduce if not totally eliminate tax delinquencies and to avail of the civil remedies for collection of revenues.",partially implemented,,aar 2010,01-moalboal2013_audit report.pdf,0.5,1
449,"11. the designation of the bookkeeper of the municipality of moalboal as officer-in- charge, municipal accountant is contrary to civil service commission (csc) memorandum circular no. 06 s. 2005, par (a) and par (b). moreover, this designated personnel may not possess the necessary qualifications for the position of accountant enumerated in the qualification standards required under section 474 (a) of republic act 7160 and by the civil service commission which could hinder the effective performance of his official functions. 11. the municipal mayor should designate as officer-in-charge, municipal accountant, an employee who is an incumbent of a level 2 position, equivalent to that of municipal accountant in compliance with csc memorandum circular no. 06 s. 2005 and to conform with the minimum requirements stated in section 474 (a) of ra 7160. he must also possess the necessary training and experience to be able to effectively perform the responsibilities required of his designated position.",implemented,nan,aar 2009,01-moalboal2013_audit report.pdf,1.0,2
450,"12. additional benefit/extra cash gift amounting to p1,248,000 at p20,000 each was granted to officials and employees even if the lgu had already exceeded the 55% limitation on personal services (ps) in violation of local budget memorandum no. 54 dated december 19, 2007. 12. 1. the municipal budget officer should coordinate with the provincial budget officer (cebu) as regards to the lgu's ps appropriations and limitations in accordance with section 325 (a) ra 7160 before granting any additional benefit based on dbm issuances. 2. all officials and employees concerned who received such benefit at p20,000 each should refund the said amount immediately. approving officials should explain why such benefit was granted despite the fact that it had already exceeded its ps limitation for cy 2007.",partially implemented,nan,aar 2007,01-moalboal2013_audit report.pdf,0.5,1
451,"13.. the agency granted cna incentive at p15,000 or a total of p900,000 for cy 2007 even if the accreditation /registration of its employees' organization by the civil service commission were during the year in violation of budget circular 2006-1 dated february 1, 2006. 13. all officials and employees who received such benefit at p15,000 each should refund the amount immediately.",partially implemented,nan,aar 2007,01-moalboal2013_audit report.pdf,0.5,1
452,"14. the p5,858,277 availed by the agency from land bank of the philippines for the acquisition of heavy equipments for its infrastructure and development projects without project proposal had caused it to incur additional obligation for the interest by an approximate amount of p2,848,085.60 for five (5) years of p569,617.12 a year or higher which could be used for worthwhile projects. 14. the agency should use such heavy equipments as planned and if possible propose for revenue generating programs from said equipments to make it self-liquidating so the budget for the interest could be used for projects that could also benefit the people. the required documents supporting the payment to monark equipment corporation should be submitted.",implemented,,aar 2007,01-moalboal2013_audit report.pdf,1.0,2
453,15. there were inconsistencies in the keeping of reciprocal accounts in the books contrary to section 111 par 2 of pd 1445 giving doubt on the accuracy of the balances of the affected accounts and rendering the accounting records and reports unreliable. 15. the municipal accountant should make a workback to reconcile the difference on reciprocal accounts and make the necessary adjustment in the books. should follow strictly section 111 of pd 1445 in the keeping of accounts to prevent an inaccurate and misleading information.,implemented,nan,aar 2006,01-moalboal2013_audit report.pdf,1.0,2
454,"1. unliquidated cash advances had accumulated to p16,250,003.32 due to the failure to comply with the provision of coa circular no. 97- 002 regarding liquidation of cash advances within the reglementary period and non enforcement of the available and/or appropriate actions for settlement of cash advances. we recommended that management stop granting of additional cash advances to officials and/or employees unless their previous cash advances are first settled or a proper accounting thereof is made. cause the withholding of salaries or any money due them as settlement/liquidation of their cash advances.",partially implemented reiterated in finding no. 2,a substantial of the unliquidated cash advance represents those of former treasurers danilo montero and alfredo domingo which were granted under the administration of the late alfredo vendivil. likewise those granted to mr. cellona during the administration of mayor alexander joanino.,cy 2012 aar finding no. 1,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.5,1
455,"2. cash advances granted by the municipality to its employees amounting to p2,174,538.58 were made in violation of coa circular 97-002, casting doubts on their validity. we recommended that management strictly adhere to the provisions of coa circular 97-002.",implemented,nan,cy 2012 aar finding no. 2,11-lupao2013_part3-status_of_py's_recommendations.pdf,1.0,2
456,"3. the accuracy of property, plant and equipment costing p68,921,063.38 could not be ascertained due to non maintenance by the municipal treasurer of property stock cards for each property and failure to conduct physical inventory in violation of section 119 and 124 of the manual on the ngas for local government units. we recommended that management a) require the municipal treasurer to maintain property stock cards, b) create an inventory committee that will conduct the physical count of all properties of the municipality to determine their existence, and c) require the inventory committee to submit the report on the property inventory to the municipal accountant for reconciliation purposes in accordance with the rules and regulations on supply and property management in the local government (coa circular 92-386).",not implemented reiterated in finding no. 4,,cy 2012 aar finding no. 3,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.0,0
457,"4. the municipality incurred cash overdraft at year end amounting to p8,310,045.59 due to its continued practice of using cash reserved for trust liabilities in settlement of its current operating expenses. we recommended that managements stop the practice of using trust funds for payment of regular expenditures to avoid the incurrence of cash overdraft. remit promptly all collections/trust liabilities due to other government agencies to forestall the misuse/misappropriation of such funds. we recommended that management shall prioritize the remittances of trust liabilities due to different agencies. refrain from using trust funds for other purposes to avoid delay in remittances to the agencies concerned. the treasurer shall be held liable for whatever interest, charges and penalties that may arise from the delayed remittance.",not implemented reiterated in finding no. 1 not implemented reiterated in finding no. 5,as per cash analysis with the inclusion of receivables the municipality did not incur an overdraft. some of the trust liabilities were already remitted to various agencies. the treasurer is trying his best to settle these obligations.,cy 2012 aar finding no. 4 cy 2012 aar finding no. 5,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.0,0
458,"6. several accounts aggregating to p1,016,373.45 remained dormant for long period of time. we recommended that management request for write-off of these accounts due to the absence of records and documents evidencing the claims of the municipality.",not implemented reiterated in finding no. 8,nan,cy 2012 aar finding no. 6,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.0,0
459,"7. failure of the municipal budget officer and the municipal accountant to reconcile their records on allotments available for obligations, as well as obligations incurred resulted to material difference or variance. we recommended that management require the municipal accountant to see to it that all disbursements are supported with obligation request (obr) duly signed by the municipal budget officer. the municipal treasurer is also reminded that payment of disbursements should not be made unless it is supported with duly accomplished and signed obligation request by the municipal budget officer.",partially implemented,,cy 2012 aar finding no. 7,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.5,1
460,"8. the municipality of lupao did not comply with the accounting and reporting guidelines for the local risk reduction and management fund (ldrrmf) of local government units (lgus) provided under coa circular no. 2012- 002 dated september 11, 2012. also, lddrmf totaling p683,651.60 were spent for quick response fund even without the occurrence of a calamity. we recommended that management instruct the accounting unit to strictly follow the accounting and reporting guidelines for ldrrmf as mandated by coa circular 2012-002.",not implemented reiterated in finding no. 9,nan,cy 2012 aar finding no. 8,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.0,0
461,"9. as of december 31, 2012, audit suspensions and disallowances amounted to p3,370,652.66 and p1,002,053.00 respectively. the disallowances were due and demandable from persons determined to be liable in the absence of any appeal. we recommended that management require the immediate settlement of disallowances otherwise, cause the withholding of salaries of those employees determined to be liable.",partially implemented reiterated in finding no. 10,,cy 2012 aar finding no. 9,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.5,1
462,"10. taxes withheld amounting to p995,629.21 from creditable taxes on procurement were not remitted in violation of section 1(c) of ra 7649, thus, depriving the bureau of internal revenue with its earned revenues. we recommended that the municipality remit all taxes withheld promptly as required by section 1(c) of republic act no. 7649 of national internal revenue code.",partially implemented reiterated in finding no. 11,nan,cy 2012 aar finding no. 10,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.5,1
463,"11. the municipal government failed to fully implement the gender and development (gad) as provided for in the general appropriations act (gaa) of 2012 by appropriating only p474,000.00, equivalent to .71% of the total appropriations of p66,707,485.37. we recommended that the municipality appropriate five percent (5%) of the agency's total appropriations for gender and development (gad) program.",not implemented reiterated in finding no. 12,,cy 2012 aar finding no. 11,11-lupao2013_part3-status_of_py's_recommendations.pdf,0.0,0
464,"i. ii. 1. audit suspensions and disallowances amounting to p2,310,672.80 and p1,324,273.65 respectively, remained unsettled as of december 31, 2012 in violation of coa circular no. 2009-006 dated september 15, 2009. we recommend that the requirements of the transactions suspended in audit must be complied within the ninety-day period to avoid maturity of disallowance. settlement of audit disallowances that become final and executory should be strictly enforced by withholding the salaries or other compensation due the persons liable who are still employed with the government. management should employ all possible means provided by law for the settlement of disallowances to those who are already separated from government service, otherwise those other persons determined to be liable shall settle the same.","partially implemented the management settled their notice of suspension eighty percent (80%) however, settlement on the notice of disallowance is still on process.",the accounting office submitted the required supporting documents to settle their notices of suspension,2012 aar p. 14-15,05-mahatao2013_part3-status_of_py's_recommendations.pdf,0.5,1
465,"iii. 2. purchases of supplies and materials amounting to p2,402,008.78 were directly charged to expense account instead of recording them as inventories, contrary to section 4 (j), 51 and 121 of coa circular no. 2002-003 dated june 20, 2002 of the new government accounting system (ngas), hence the inventory accounts were understated and the expense accounts was overstated as of year-end. we recommend that the accounting and the general service office should observe strictly the existing rules and regulations in recording purchases/receipt and issuance of inventories to ensure adequate control over inventories pursuant to the above cited-regulations.",not implemented,"the acting accountant recorded some of the purchased supplies and materials to an asset method however, some were directly charged to expense accounts",2012 aar p. 15-17,05-mahatao2013_part3-status_of_py's_recommendations.pdf,0.0,0
466,"3. unserviceable properties amounting to p545,357.71 have not been transferred to other assets account in violation section 04 of coa circular no. 2002-003 dated june 20, 2002 and section 79 of pd 1445 thus, overstating the assets and equity accounts as of year-end. we recommend that the lgu should adhere strictly to the aforementioned provisions of coa circular 2002-003 dated june 20, 2002 and section 79 of pd 1445. we also recommend that management should adopt its disposal policies such that unserviceable assets beyond economic repair and withdrawn from operations shall be properly disposed through sale by public auction, transfer or donation to barangay governments or other government agencies and scrapping when some unsaleable items may have reusable components which may be removed before destruction.",not implemented,the acting accountant prepared journal entry voucher (jev) to record the transfer of the unserviceable properties to other asset account.,2012 aar p. 17-18,05-mahatao2013_part3-status_of_py's_recommendations.pdf,0.0,0
467,"4. the reliability and accuracy of the cash in bank - lcca balance totaling to p31,588,327.20 could not be ascertained as of year-end because bank reconciliation statement was not prepared and submitted in violation of paragraph 4 of coa accounting circular no. 2006-002, dated december 19, 2006. we recommend that management should prepare monthly bank reconciliation statements as required by coa circular no. 96-011 dated october 2, 1996 to ensure the accuracy of the cash in bank accounts in the financial statements.",not implemented the acting accountant failed to prepare the bank reconciliation statement due to heavy load and lack of manpower in her office,nan,2012 aar p. 18-19,05-mahatao2013_part3-status_of_py's_recommendations.pdf,0.0,0
468,"5. eleven (11) parcel of lots owned by the municipality with a total declared market value of p4,487,640,.00 are not covered with certificate of titles in its name contrary to section 449 of coa circular no. 91-368, dated december 19,1991, thus the government's ownership over the property is uncertain. we recommend that the local chief executive should make a written instruction to the acting property officer and assistant municipal assessor to coordinate for the immediate transfer of certificates of title of the six (6) lots in the name of the municipality. exhaust all means to secure tct or any document that will serve as evidence of ownership of untitled lots. fund should be sufficiently appropriated and be made available to defray expenses relative to the titling.",not implemented,the local chief executive already instructed the concerned officials,2012 aar p. 19-20,05-mahatao2013_part3-status_of_py's_recommendations.pdf,0.0,0
469,"6. hired personnel under the ""job orders"" contract of employment were charged to specific programs, projects and activities of the lgu. farther review revealed that accomplishment reports of the various personnel under job order contract were not submitted or attached as supporting documents to the disbursements for their wages as required under item 1.2.1 of coa circular no. 2012-001 dated june 14, 2012 and section 4 (6) of pd 1445. we recommend that accomplishment report should be submitted/attached as supporting document to the payment of wages paid to contractual employees. likewise, special power of attorney (spa) or a written authorization from the payees who could not personally receive the pay should be submitted/attached as requires under coa circular no. 2012-001 dated june 14, 2012 and section 4 (6) of pd 1445. written off and charged to prior year adjustments account without observing the prescribed guidelines and procedures on cleaning the books of accounts in violation of coa circular no. 97-001. we recommend that the municipal accountant should reverse the entry made in writing off the accounts. ascertain the existence and validity of the recorded receivables. exert more effort in collecting the accounts due to the government and if all possible ways are already exhausted, request the write-off of the accounts following the prescribed guidelines and procedures as provided by cao circular 97-001.",partially implemented implemented,the management required the submission of the accomplishmen t report to be attached in disbursement voucher reverted back.,2012 aar p. 21-22 aar,05-mahatao2013_part3-status_of_py's_recommendations.pdf,0.75,1
470,"22. the failure of the municipal government to operate the public market constructed out of the dof-mdf premiumed loan rendered the monthly amortization expenses, inclusive of principal, interest and surcharges of the lgu a mere wastage of public funds. we reiterate that management should wield additional effort to have the public market into a full blast operation so as to enable the lgu generate additional income and save something for the payment of its monthly amortization and avoid further wastage of public funds.",not implemented reiterated as finding no. 34.,no management action.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
471,"1. accuracy and reliability of property, plant and equipment amounting to p75,800,950.34 could not be ascertained due to the failure of the municipality to conduct annual physical count in accordance with section 156 of coa circular 92-386. we recommend that management should conduct physical inventory of all properties owned by the lgu and prepare the corresponding report to comply with coa circular 92-386. it should reconcile the inventory report with the accounting records to present the real and actual cost of the properties. subsidiary ledgers should be maintained and record ppe's condition, its whereabouts and other details that are necessary to prove its existence and ownership. management should make the necessary adjustments to the ppe account relative to the noted discrepancy between the books and the results of actual inventory of the accounts to present a reliable balance in the financial statements.",partially implemented reiterated as findings no. 9.,management is still in the process of identifying all the properties owned by the municipality,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.5,1
472,"2. cash overdraft in the amount of p40,726,040.75 was incurred which showed that trust funds were misapplied in violation of section 305 (e) of ra 7160 and section 4 (3) of p.d. 1445. we recommend that management should refrain from the practice of using trust funds for payment of regular expenditures to avoid the incurrence of cash overdraft. likewise prompt remittance of trust funds due to other government agencies should be undertaken to avoid misappropriation thereof.",not implemented,no management action.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
473,"3. outstanding cash advances amounting to p 41,693,189.21 remained unliquidated in violation of section 89 of pd 1445 and coa circular no. 97- 002, thereby rendering the year-end balancesof thereceivable account overstated and the expense account understated. we recommend that management should expedite the settlement of unliquidated cash advances. legal remedies maybe resorted as circumstances warrant. limit the cash advances allowed to elected officials only to the extent of their official traveling expenses. strictly adhere to the limitations prescribed under section 89 of pd 1445 and coa circular no. 97-002.",partially implemented reiterated as finding no. 1.,some employees started submitting liquidation papers for their cash advances.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.5,1
474,"4. the accuracy and reliability of the cash in bank balance is doubtful due to the variance of p 1,431,618.85 between the book and bank balances because of the failure of management to prepare monthly bank reconciliation statements pursuant to coa circular no. 96-011 dated october 2, 1996 and section 74 of pd 1445, otherwise known as the government auditing code of the philippines. we recommend that the municipal accountant should prepare and submit the monthly bank reconciliation statements regularly and on time pursuant to coa circular no. 96-011 dated october 2, 1996 in order to ascertain the correctness of the cash in bank accounts. valid reconciling items which were found during the month should be immediately adjusted to avoid accumulation of errors.",partially implemented reiterated as finding no. 4.,management started preparing bank reconciliation statements but were not able to submit to coa.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.5,1
475,5. the reported receivable account of the lgu at the end of the year is understated due to the failure of the agency to reflect the actual balances of real property tax (rpt) and special education fund (sef) tax receivables on the year-end financial statements. we recommend that the actual balance of real property tax receivable be reported on the year-end financial statements so as to come up with a more accurate and reliable asset balance on the financial statements.,not implemented,management recognized the receivables for 2013.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
476,"7. accounts payable amounting to p4,410,409.68 aged 2 years and above were not reverted to the surplus account as required under coa circular 76- 45 dated november 24, 1976, thus rendering the year- end balance of the account unreliable. we recommend that the municipal accountant should make a careful perusal of the aforementioned accounts payables with the view of reverting the same to the government equity account if warranted. 8. consultants were contracted and paid by the municipal government under contract of services without the benefit of public bidding in violation of r.a. 9184 and despite the availability of expertise or in-house capability of its employees. we recommend that management should evaluate all contracts with consultants so that those that pertain to work which are determined to be within the capability of some agency personnel to perform be rescinded to avoid duplication of existing functions of the different departments. we recommend that management should hire consultants in accordance with ra 9184. specialization and expertise should be taken into consideration before hiring them. we also recommend that the hrmo support all payments of salaries with duly validated accomplishment reports for the work done/performed by each of the consultant during the period.",not implemented,no management action accomplishment reports were already submitted. number of consultants was lessen.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
477,"11. the utilization of the twenty percent (20%) development fund of the municipality amounting to p1,727,401.07 was not in accordance with the joint memorandum circular no. 2011-1 dated april 13, 2011 of the dilg and dbm thereby depriving the constituents of the benefits that could be obtained therefrom. we recommend management to stop the practice of utilizing the fund for any purpose beyond those expressly prescribed by the above cited regulations. management should ensure that the 20% development fund is optimally utilized and all projects to be funded shall contribute to the attainment of desirable socio- economic development and environmental outcomes and shall partake the nature of investment or capital expenditures. 12. annual school board budget under the special education fund ( sef) was not prepared for thelocal school board for the cy 2012 which should have been used for the operation and development of public schools in the municipality. moreover, financial assistance totaling p185, 900.00 were paid out of the special education fund to various teachers and non-teaching personnel of the municipality despite the absence of approved budget contrary to section 272 of ra 7160. we recommend that the local school board should prepare annual budget for the special education fund and strictly observe the provisions of ra 7160 relating to the preparation of budget and defined usage or utilization of the fund.",not implemented,various expenses were still charged against the 20% df despite the fact that they are invalid charges. no annual school board budget prepared for cy 2013.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
478,"16. government vehicles were not marked ""for official use only"" as required under coa circular no. 75-6, thus, exposing said properties to misuse by public officials. we recommend that the municipal mayor should ensure that vehicles of the municipal government are properly marked with ""for official use only"" as prescribed under coa circular no. 75-6 and ensure that all trips made thereon are properly monitored with corresponding documentations.",not implemented,no management action.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
479,"17. the prescribed documentation of the gasoline consumption of the various motor vehicles and heavy equipment of the municipal government in the amount of p17,508,064.57 were not properly accomplished contrary to the provisions of the manual on audit of fuel consumption of government vehicles (coa circular 77-61 dated september 26, 1977), thus rendering the charges of doubtful validity. to correct the deficiencies noted, we recommend the following measures: a) a logbook should be maintained by the issuing officials so that he could monitor and regulate the fuel/gasoline issuances. b) equipment log for the equipments of the lgu should be maintained so that daily consumption of diesel could be monitored. all data in the trip ticket should be properly filled-up and it should observe strict adherence to the provisions of coa circular no. 77-61 dated september 26, 1977 prescribing the use of the manual on fuel consumption of government vehicles to enable the auditor to evaluate properly the fuel consumption of each motor vehicle and heavy equipment maintained by the municipality.",partially implemented reiterated as finding no. 39.,"gasoline grants to private people were recorded under grants and donations starting july, 2013 but some charges were still recorded under the gasoline expense account",2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.5,1
480,"18. several procurements of supplies and materials by the departments/offices of the municipality totaling p2,009,280.00 were paid thru reimbursement basis which persuaded splitting of transactions in violation of coa circular no. 97-002 and ra 9184. we recommend that management should strictly adhere to the provisions of r.a. 9184 on the procurement of goods, to obtain the most advantageous price for the government. splitting of purchased request and purchase orders must be discontinued. the annual procurement plan must be reviewed and prepared with anticipation for emergency purchases to limit urgent purchases only to instances of severe necessity. payments should be directly to suppliers and proper withholding of taxes should be made.",not implemented,several procurements were still paid thru reimbursements though splitting was avoided already.,2012 aar,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
481,21. receivable accounts were automatically,fully,entry made was,2012,05-nagtipunan2013_part3-status_of_pys_audit_recommendations.pdf,0.0,0
482,"r 1. non-submission of the monthly collection and disbursement accounts totaling 2,789,913.24 and 48,072,382.50, espectively covering the period from january to december 2012 contrary to sections 39 (1) (3) and 107 of p.d. 1445 and sections 7.1 and 7.2.1 of coa circular no. 2009-006 dated september 15, 2009 thereby hindering the audit team of timely verification and review of financial transactions. we recommended that the oic- municipal accountant and municipal treasurer submit to the office of the auditor the paid vouchers/payrolls together with its supporting documents and issued official receipt within the prescribed period provided under section 107 of p.d. 1445 and sections 7.1 and 7.2.1 of coa circular no. 2009-006 dated september 15, 2009.",partially implemented,january to december 2012 collection and disburseme nt accounts were submitted. accounts for january to october 2013 were also submitted as of date of report.,cy 2012 aar page 16,10-monreal2013_status_of_implementation_of_pys_recommendations.pdf,0.5,1
483,"o 2. existence of huge cash in vault balance of 4,692,401.23 as f year-end contrary to section 32 of the manual on the new government accounting system (ngas) deprived the local government unit of the timely utilization of available cash resources and may possibly result to loss or misapplication of cash. require the incumbent municipal treasurer to immediately deposit all her collections as well as those of her collectors with the authorized depository bank. henceforth, strict compliance and adherence to the provisions of section 32 of the manual on ngas is required. monitor the frequency of turn-over/remittance of collections made by collectors to avoid the incurrence of temporary borrowings or unauthorized expenditures. moreover, we reiterate our recommendation to initiate appropriate legal action against former municipal treasurer rudel r. belmonte for the recovery of cash resources of the lgu.",not implemented,no action taken.,cy 2012 aar page 18,10-monreal2013_status_of_implementation_of_pys_recommendations.pdf,0.0,0
