,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
3111,"partially implemented 8. the municipal treasurer did not strictly observe the rule on deposit of collections provided for in section 32 of the manual on the new government accounting system (ngas) for the local government units, thus may lead to possible loss, theft or misuse of collections in the hands of the accountable officer. we recommended that the municipal treasurer strictly adhere to the rule requiring daily deposit of collections to safeguard funds from the risk of loss or misuse.",,,partially implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3112,"not implemented 9. the municipal treasurer’s office (mto) failed to prepare the report of checks issued, contrary to section 43 of the ngas manual for lgus, which may result in the erroneous capture and recording of transactions by the accounting office. we recommended that management instruct the mto to prepare the report of checks issued in compliance with section 43 of the ngas manual for the correct recording of transactions.",,,not implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3115,"not implemented 12. the canvassing, purchasing, receiving, issuing of supplies and materials purchased from local suppliers and the preparation of the voucher were done by the designated property/supply custodian, thereby manifesting poor control on property management which may result in the errors and irregularities. we recommended that the purchasing, receiving and issuing functions on purchased supplies and materials be segregated in order to provide check and balance to strengthen the procurement system.",,,not implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3116,"implemented 13. the acting municipal accountant failed to properly present in the financial statement the cash advances granted to the employees for travel and special purpose/time-bound undertakings because the account used was not in accordance with coa accounting circular no. 2007- 002, as amended. we recommended that the acting municipal accountant prepare the necessary adjusting/correcting entries using the new code for cash advances for proper classification of accounts.",,,implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3117,"not implemented 14. disbursements for fuel consumption were not completely documented, in violation of section 4(6) of pd 1445 and coa circular no. 77-61 dated september 26, 1977, thereby rendering the determination of the reasonableness of fuel consumption difficult and the regularity of the transactions doubtful. we recommended that the agency comply with the provisions of the manual on audit for fuel consumption of government motor vehicles as prescribed under coa circular no. 77-61 to be properly guided in the documentation of fuel consumption and in the use of government vehicles/equipment as well as to be able to regulate fuel consumption.",,,not implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3118,"partially implemented 15. due to the incomplete and deficient annual procurement plan (app) and project procurement management plan (ppmp) prepared by the agency as guide in the procurement activities of the year, the municipality resorted to splitting of purchase orders in the procurement of various goods, thus circumventing the requirements of public bidding under the revised implementing rules and regulations (irr) of ra 9184. we strongly recommended that management comply with the provisions of ra 9184 on the preparation of app and ppmps to adhere to the principle of transparency, accountability, efficiency and economy in its procurement process. stop the practice of splitting purchase requests and purchase orders in order to comply with the requirements of public bidding.",,,partially implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3120,"partially implemented 17. several disbursements were not supported with the required documents, in violation of section 4(6) of pd 1445, rendering the validity, propriety and correctness of the transactions doubtful. we recommended that management comply with the provisions of section 4(6) of pd 1445 which mandates that all disbursements be supported with complete supporting documents to prove the validity, propriety and correctness of the transactions.",,,partially implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3122,"partially implemented 19. the agency did not provide the required minimum budget of five percent (5%)of their total annual appropriations for gad program, contrary to section 28 of the 2012 general appropriations act, hence, not all agency’s programs and activities related to gender issues and concerns were addressed because of inadequate resources. we recommended that management (a) ensure that a minimum of five percent (5%) of the municipality’s total appropriation for the general fund is set aside for the implementation of gad-related projects and activities to address the various gender issues in the municipality; and (b) review gad plan and accomplishment report to ensure that these are prepared in accordance with the provisions of joint circular no. 2004-1 dated april 5, 2004 of the dbm, neda and the philippine commission on women (formerly ncrfw), and the general appropriations act and ensure that activities to be undertaken are part of the gad priority agenda of the government.",,,partially implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3123,"partially implemented 20. various projects budgeted at p908,563.31 from the development fund were not carried out as planned, contrary to the mandate of an effective and efficient delivery of services and facilities to the constituents, amounting to a denial of improved health, social, economic and infrastructure services to the constituents. we recommended that the municipality fully utilize its appropriation for the 20% economic development fund by implementing all the projects/activities as programmed. the full implementation of the projects will redound to the benefits of the constituents of the municipality.",,,partially implemented,2012 aar,11-anao2013_part3-status_of_py's_recommendations.pdf
3182,"reconciliation of the cash in treasury/vault has been initiated but not yet completed leaving an unreconciled amount of p1,009. 94 as of december 31, 2013. the audit observation is reiterated in the cy 2013 aar. 1. the cash in treasury account balance as of year-end amounting to p184,454.09 was not reconciled with the cashbook balance amounting to p238,463.91 or a difference of p54,009.82, whereby the cashbook balance is greater than the ledger balance. thus, the completeness and accuracy of the recorded cash collection transactions and the account’s information presented in the balance sheet as of december 31, 2012 are doubtful and misleading, violating section 111 of p.d. 1445 and the sound control on cash management. recommendation: the municipal treasurer and the accountant take initiative to immediately reconcile the balances of the cash in treasury account in their respective records especially under the general fund in order to identify the recorded errors committed in the past; make the necessary and immediate correction/adjustment in the affected accounts; and provide financial data that are accurate and reliable for management’s information and decision making purposes. 2. reconciling items identified since 1996 in the bank reconciliation statements of the general, special education and trust funds have not been adjusted by the municipal accountant and municipal treasurer. thus, the balance of the cash in bank account as of year-end amounting to p 4,536,965.04 remained uncorrected and inaccurate, affecting the reliability of the financial statements and ",,,partially implemented,2 012 aar cy 2012 aar,11-bamban2013_part3-status_of_py's_recommendations.pdf
3342,"4. the share of the lgu from the ᵽ u pcso charity fund was recorded as a liability account instead of treating the same as part of the general income in the general fund contrary to coa circular no. 2004-008 dated september 20, 2004. as a result, the recorded income during cy 2012 was understated by 499,441.83 and the liability account was overstated by 108,929.66 representing nutilized portion of the pcso fund. the municipal accountant be required to properly observed and apply the provisions of coa circular no. 2004-008 in recording and classifying all transactions and accounts to ensure accurate presentation of financial reports. moreover, make adjustments in the books to reclassify the pcso account to its appropriate account title. ",,,"journal entry voucher no. 282 dated january 31, 2013 was drawn to reclassify the account.",aar cy 2012,05-aurora2013_part3-status_of_py's_recommendations.pdf
3505,"3 .several tangible assets with estimated serviceable life of more than one (1) year but small enough to be considered as property, plant and equipment (ppe) in the total amount of p59,923.00 were included in the inventory report and are classified in the books of accounts as ppe, thus, overstating the said accounts in the financial statement. we recommend to management that for tangible assets with estimated useful life of more than one (1) year but small enough to be considered as property, plant and equipment, should be recorded as an inventory account through the issuance of inventory custodian slip. ",,,fully implemented the accounting office reflected the necessary adjustment in the journal entry voucher (jev).,aar-2012 p. 18-19,05-basco2013_part3-status_of_py's_recommendations.pdf
3701," we recommended that management adhere to the aforementioned guidelines to ensure proper utilization of the gad fund that will address the gender and development issues of its constituents especially women. 12. the municipality failed to withhold taxes on the excess of the total exclusion of p30,000.00 for benefits amounting to p417,205.00 received by its officials and employees, contrary to section 32.b.7.e of the national internal revenue code (nirc) of the philippines, thus, depriving the government of additional revenue. we recommended that the municipal mayor instruct the municipal accountant to comply strictly with existing revenue regulations regarding the withholding of taxes, including the taxes due on the benefits given to its officials and employees. ",,,implemented,aar 2012,11-sanclemente2013_part3-status_of_py's_recommendations.pdf
4110," 1. unsound cash management, manifested by collections that were not deposited daily and intact, led to a significant cash in vault balance at the end of the month, ranging from p153,829.93 to p4,086,264.61. for cy 2012, the ending balance was p876,813.68. the practice is in violation of section 32, volume i of the new government accounting system (ngas) for local government units (lgus), which might lead to loss or misappropriation of government funds. we recommended that the municipal treasurer deposit all her collections as well as all collections turned-over to her by the collectors with the authorized depository bank intact and daily or not later than the next banking day to avoid misuse or misapplication of government funds. 2. the balance of cash advance for petty cash fund in the amount of p33,194.00 remained unliquidated as of december 31, 2012, in violation of section 48 of the manual on the new government accounting system (ngas) for local government units, volume i. we recommended that the municipal mayor instruct the municipal treasurer to see to it that her petty cash fund shall be fully liquidated at the end of the year by preparing a report of disbursements, supported by the list/summary of petty cash fund vouchers and their supporting documents, pursuant to section 48 project ",,,partially implemented. this finding is reiterated in part ii of this report. implemented coa allowable cost evaluation,2012 aar 2012 aar contract cost,11-paniqui2013_part3-status_of_py's_recommendations.pdf
