,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
1340,,"3. fund transfer from the national government remained unremitted to the national treasury despite completion of the project/purpose of the fund contrary to paragraph 3 of executive order no. 431 dated may 30, 2005. we recommended that management: a. implement all projects funded out of the national government without delay; and b. remit upon completion, unutilized balances of the completed projects to the national treasury in accordance with eo no. 431 dated may 30, 2005.",not implemen ted ,no remittance has been made to the national treasury reiterated under aar obs. # 3 ,none ,r o cy 2012 aa bs. #3 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1341,,"4. common-use supplies were purchased from local private vendors/suppliers and not through the procurement service of the department of budget and management (dbm) as required under administrative order no. 17 depriving the municipality of relatively lower prices offered by the procurement service. we recommended to management the following control measures: a. instruct the general service officer/ property custodian that all procurement of common-use supplies shall be made from the procurement service pursuant to administrative order no. 17 in order to avail the relatively lower prices offered by the ps; b. submit their annual procurement plan for common-use supplies and equipment (app-cse) using the prescribed format downloadable through the procurement service website at http://www.procurement service.org not later than november 15 of each year pursuant to dbm circular letter no. 2011-06; c. include in their app-cse supplies, commodities or materials and equipment which depending on their mandate and nature of operations are necessary and desirable in their official and regular transactions consumed and needed in their day to day operations in accordance with section 4.4 of the same dbm circular; and d. coordinate with ps-dbm on how they can establish depots within their locality.",partially implemen ted ,"most of procurement was made to local supplier or thru bidding. since, most of their needed supply were unavailable and low quality ",they procure at least one to ps- dbm ,r o cy 2012 aa bs. #4 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1342,,"5.posting of warranty security for completed infrastructure projects amounting to p10,760,412.99were not required by the municipality, thus, deprived them of adequate protection from any structural defects that may arise within the warranty period in violation of pertinent provision of section 62 of the revised implementing rules and regulations (irr) of republic act no. 9184. we recommended that management require the posting of warranty security to supplier/contractor on their procurement of goods and services and infrastructure project from the time of their final acceptance to guarantee that any defects/repairs due to the fault of supplier/contractor will be charged at their own expense pursuant to pertinent laws, rules and regulations of section 62 of the revised irr of r.a. 9184.",fully implemen ted,,warranty security was required by management,r o cy 2012 aa bs. #5,13-iba2013_part3-status_of_py's_recommendations.pdf
1343,,"6. the disbursing officer allowed the payment/release of salaries to persons other than the payee especially in the absence of written authority and proper identification of claimant that may result to fraudulent act in violation of coa circular no. 85-248, which prohibits the payment of salary, allowances, or other emoluments of government official or employee to any person other than the employee concerned. we recommended that management: a. institute stringent control mechanism in the payment of salaries such that the disbursing officers pay directly only to the named- employee/payee appearing in the payroll voucher; or in his absence, release the payment only to his duly authorized representative mentioned in the express written authority of the payee himself and with proper identification; and b. require all authorizing parties to support their written authority together with the photocopy of valid id’s with their signature, which must be compared with the signatures appearing in the letter of authorization.",fully implemen ted , ,"disbursing officers were instructed to release salary to persons other than the payee, unless, written authorization of the payee and identification of claimant must be secure ",r o cy 2012 aa bs. #6 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1344,,"7. honoraria of contractual teachers amounting to p204,000.00 were charged to special education fund (sef) contrary to joint circular no. 01-a of decs, dbm, and dilg dated march 14, 2000. we recommended that management follow strictly the proper utilization of special education fund as provided under the decs, dbm, and dilg joint circular no. 01-a dated march 14, 2000 and secure approval thereof to the department of education secretary.",fully implemen ted,,none,r o cy 2012 aa bs. #7,13-iba2013_part3-status_of_py's_recommendations.pdf
1345,,"8. the management failed to appropriate funds for gender and development activities and allocates 5% appropriation for gad-related programs, projects and activities as required under executive order no. 273. we recommended that management formulate specific gad plan or program specifying the calendar of activities working toward the targeted outputs. performance indicators should also be specified in line with the appropriations given to each item and answer to what the targeted final output is and when this is to be finally achieved. allocate funds for the implementation of the gad programs equivalent to at least five per cent of the total appropriation.",not implemen ted ,"no gad plan, budget and accomplishment . spent less than 5% of its annual budget reiterated under aar obs. # 18 ",none ,r o cy 2012 aa bs. #8 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1346,,9. the municipality failed to appropriate one percent of its budget and formulate specific programs and projects related to senior citizens and differently-abled as required under section 29 of the general appropriations act (gaa) of 2012 or r.a. 10155.,partially implemen ted,no concrete programs for pwd,provide assistance to senior citizen,r o cy 2012 aa bs. #9,13-iba2013_part3-status_of_py's_recommendations.pdf
1347,,"10. withholding taxes amounting to p4,776,031.74 were remitted to the bureau of internal revenue (bir) within the required period thereby avoiding the incurrence of surcharges and interest in accordance with sections 2.81 and 4.114(c) of revenue regulations 2-98 dated april 17, 1998 and section 5 of revenue regulations 17-2003 dated march 31, 2003. we commended the municipal government particularly the accounting department for strict adherence to sections 2.81 and 4.114(c) of revenue regulation no. 2-98 and section 5 of revenue regulation no. 17-2003 in the prompt remittance of the taxes due to the bir.",fully implemen ted,,continuously remit taxes withheld promptly,r o cy 2012 aa bs. #10,13-iba2013_part3-status_of_py's_recommendations.pdf
1348,,"11. audit disallowance amounting to p9,213.49 remained unsettled as of year- end in violation of coa circular no. 2009-006 dated september 15, 2009. we recommended that management compel liable person to settle immediately the disallowed amounts of p9,213.49 as contained in the various notice of disallowance pursuant to the 2009 rules and regulations on the settlement of accounts (rrsa).",fully implemen ted , ,management compel them to settle their disallowances ,r o cy 2012 aa bs. #11 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1349,,"12 supplies and equipment purchased during the year amounting to p8,854,671.20 and p506,356.82 respectively, were not taken up in the books as inventories and properties contrary to sections 4, 50 and 123 of the manual on the new government accounting system, volume i resulting in misstatement of accounts in the financial statements. we recommended the following to properly account for the supplies and equipment: a. the municipal health officer and municipal agriculturist submit reports of issued medicines and agricultural supplies or ris to the procurement officer as basis in preparing the ssmi. at the end of month, the procurement officer submit the ssmi with the ris to the municipal accountant for the latter to record the issuance of the medicines and agricultural supplies. b. the municipal accountant prepare the necessary adjusting entries to record the tents, printers, doppler digital, blood pressure apparatus and laptops as asset of the municipality. c. municipal treasurer issue acknowledgement receipt for equipment (are) to official/employee entrusted with the custody of said property so that accountability and responsibility thereon could be established.",partially implemen ted ,no report for agricultural supplies issued. ,"memorandum receipt was issued to employee to whom the property was charged. also, correcting entries for supplies and equipment purchased were made by the municipal accountant on january 2013. ",cy 2011 aar obs. #1 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1350,,"13. the indigency fund was not utilized for the intended purpose provided under municipal ordinance no. 7, series of 2010, thereby depriving target beneficiaries of benefits in terms of economic assistance and relief during crisis situation. we recommended that the management: a. strictly enforce the guidelines under municipal ordinance no. 7 in granting financial assistance to ensure that the neediest and a large number of beneficiaries will get the benefits; b. develop livelihood programs that will encourage individuals or groups to work and earn for their living and reduce their dependency on the government; and c. instruct the municipal social welfare development officer to conduct diligent screening of target beneficiaries to ensure that only qualified beneficiaries are extended assistance and to maintain records of beneficiaries for control and reference purposes.",not implemen ted,the amount granted exceeded the maximum cash assistance per individual as provided under municipal ordinance guidelines.,none,cy 2011 aar obs. #6,13-iba2013_part3-status_of_py's_recommendations.pdf
1351,,"14. some disbursement vouchers were paid even without the certification of the municipal accountant as to obligation of allotment and completeness of supporting documents in violation of coa circular no. 2006-002 dated january 31, 2006 and section 344 of r.a. 7160. this practice may result in improper or unwarranted use of government funds because payments could be made without complete documentation and/or corresponding appropriation. we recommended that management instruct the municipal accountant and municipal treasurer to see to it that all disbursement vouchers are reviewed and certified as to obligation of allotment and completeness of the supporting documents by the municipal accountant to prevent improper or unwarranted disbursement of government funds. in case of the absence of the municipal accountant, the municipal mayor designate the immediate ranking employee to take responsibility for the review and certification as to obligation of allotment and completeness of the supporting documents.",partially implemen ted ,some dvs were not certified as to obligation of allotment and completeness of supporting documents.,"in the absence of the municipal accountant, accounting staff was designated to make an initial signature on urgent disbursement vouchers.",cy 2011 aar obs. #7 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1352,,"15. reports of checks issued were not prepared and submitted by the municipal treasurer to the municipal accountant contrary to section 43 of the manual on the new government accounting system for local government units volume i, thus making it difficult to determine and verify the completeness of check disbursements. we recommended that the municipal treasurer prepare the report of checks issued daily and submit, together with the disbursement vouchers, to the municipal accountant as basis for preparation of journal entry vouchers and recording in the journals.",partially implemen ted ,late submission of the rci causes delay in preparation of journals. ,rci were prepared and submitted to municipal accountant. ,cy 2011 aar obs. #8 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1353,,"16. procurement of supplies, materials and equipments were not in accordance with the provisions of r.a. no. 9184 or the government procurement reform act, thus creating doubts on the validity and propriety of the transactions. we recommended that the management undertake all procurement of goods, services and infrastructure projects in accordance with rules and regulations prescribed under r.a. no. 9184 and its revised implementing rules and regulations.",partially implemen ted,"purchases of some supplies, materials and equipment were made through canvass.",purchase of medicines were procured through public bidding,r o cy 2010 aa bs. #2,13-iba2013_part3-status_of_py's_recommendations.pdf
1354,,"we recommended that management enforce the collection of business tax, real property tax, reasonable fees and charges to the owner of land and businessmen engaged in commercial activity at iba public market pursuant to section 143 of r.a. no. 7160. income collected could be used to defray expenses incurred in the maintenance of the market.",partially implemen ted ,management failed to collect real property tax from the land owner of old iba public market. ,"management required businesses to transfer at the rented lot for iba public market and had collected taxes, fees and charges. ",r o cy 2010 aa bs. #3 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1465,,"we recommended that management strictly adhere to the provisions of coa circular no. 97-002 dated february 10, 1997 in the grant, utilization and liquidation of cash advances. likewise, the municipal accountant should monitor the settlement of cash advances and issue demand letters when liquidation is overdue",n/a n/a,"quarterly demand letters were sent to the concerned personnel, however, few initiated salary deduction. ",,"audit finding no. 2, aar cy 2012 ",01-jordan2013_audit_report.pdf
1467,,"we recommended that the municipal accountant if possible reconstruct the list of borrowers for kkk and owwa fly now pay later program. a schedule of overdue accounts receivables should be prepared and submitted to the head of the for accounts that are collectible. agency concerned for any actions in accordance with paragraph 2 section 64 of the manual on gaam. furthermore, the accountant should review the schedule of overdue accounts and if possible, exhaust all efforts to collect the receivables from borrowers of the kkk and owwa programs. demand letters should be sent",n/a n/a,no available records were found. ,,"audit finding no. 4, aar cy 2012 ",01-jordan2013_audit_report.pdf
1468,,"we recommended that the inventory committee be required to conscientiously conduct physical count of all the property, plant and equipment owned by the municipality every year and prepare the report on the physical count of property, plant and equipment (rpcppe) and submit the same to the office of the auditor not later than january 31 of each year.",n/a n/a, ,,"audit finding no. 5, aar cy 2012 ",01-jordan2013_audit_report.pdf
1469,,"we recommended that at the start of the current year, the supply officer and the municipal accountant both prepare and maintain property cards and property ledger cards respectively, starting with the most recent acquisitions and work back to cover all of the property, plant and equipment of the municipality. reconciliation between the records should be undertaken regularly to ensure that receipts, custody, issuance, utilization, and disposal of all the ppe is properly reflected.",n/a n/a, ,,"audit finding no. 6, aar cy 2012 ",01-jordan2013_audit_report.pdf
1471,,"we recommended that the municipal accountant refrain for further payment. likewise, the municipal accountant and municipal treasurer to issue immediately demand letters to recover the amount paid for disbursements of non-authorized payment for registration fees. furthermore, stop the practice of utilizing the 20% df other than those expressly provided for by law. maximize the full utilization of the fund to help achieve desirable socio-economic development and environmental benefits.",n/a n/a, ,,"audit finding no. 8, aar cy 2012 ",01-jordan2013_audit_report.pdf
1472,,"we recommended that management refrain from granting honorarium to the mlgoo and comelec officer of the municipality and other officers similarly situated as these are not in accordance with the provisions of sec. 44 of gen. appropriations act of 2012, dbm bc 2007-1, dbm bc 2007-2 and dbm nbc 2007-510. ",n/a n/a, ,,"audit finding no. 9, aar cy 2012 ",01-jordan2013_audit_report.pdf
1642,,"1. audit suspensions and disallowances amounting to php709,334.65 and php1,040,726.72 respectively, remained unsettled as of december 31, 2012 in violation of coa circular no. 2009- 006 dated september 15, 2009. we recommend that the requirements of the transactions suspended in audit must be complied within the ninety-day period to avoid maturity of disallowance. while settlement of audit disallowances that become final and executory should be strictly enforced by withholding the salaries or other compensation due the persons liable who are still employed with the government. management should employ all possible means provided by law for the settlement of disallowances to those who are already separated from government service, otherwise those other persons determined to be liable shall settle the same.",n/a n/a,"partially implemented the management settled their notice of suspension one hundred percent (100% ) however, their disallowances was partially settled. ",the accounting office submitted the required supporting documents to settle their notice of suspension ,aar 2012 p. 13 ,05-ivana2013_part3-status_of_py's_recommendations.pdf
1643,,"2. cash advances in the aggregate amount of p111,738.92 remained unliquidated as of december 31, 2012 because management failed to strictly enforce the provisions of section 89 of presidential decree (pd) 1445, coa circular no. 96-004 dated april 19, 1996 and coa circular no. 97-002 dated february 10, 1997. we recommend management to strictly monitor and cause the liquidation of all outstanding cash advances to avoid misuse of government funds. compliance to section 89 of p.d. 1445, and the provisions of coa circular nos. 96-004 and 97-002 is enjoined.",,partially implemented we noted that 87% of the cash advances were liquidated,the lce required the accountable officers for immediate liquidation of cash advances.,aar 2012 p. 15,05-ivana2013_part3-status_of_py's_recommendations.pdf
1644,,"3. failure of the supply officer to prepare and submit summary of supplies and materials issued (ssmi) resulted to the inaccuracy and unreliability of the balance of the inventory account. we recommend that in order to be more accurate and reliable in the recording of inventory account, the general services officer or supply officer should prepare the summary of supplies and materials issued (ssmi) weekly as provided under the provisions of the new government accounting system.",n/a n/a,not implemented during the post audit of the transaction we noted that no supporting documents were attached in the jev to take up the issuance of supplies,the management informed the designated gso to submit the ris and ssmi to the accounting office as her basis to book up the adjusting entries in the jev,aar 2012 p. 16 ,05-ivana2013_part3-status_of_py's_recommendations.pdf
1645,,"4. the whereabouts, existence and conditions of the property, plant and equipment (ppe) with a total cost of p13,172,400.41 could not be ascertained due to failure of management to complete the conduct of physical count of properties of the municipality, which resulted to the non submission of the report on the physical count of property, plant and equipment and the non- reconciliation of balances between accounting and property records as of year-end. we recommend management to instruct the municipal treasurer/gso to facilitate the conduct of physical count annually in order to come up with the report on the physical count of property, plant and equipment. the report should be reconciled with the balances of the ppe account at the municipal accounting office, copy furnished the office of the auditor, for verification purposes.",n/a n/a,partially implemented no report of the physical count of the ppe was submitted in this office ,the management conducted an inventory of their ppes. ,aar 2012 p.18 ,05-ivana2013_part3-status_of_py's_recommendations.pdf
1646,,"5. the year-end balances of real property tax (rpt) (127) and special education tax (set) receivables (128) as well as their contra accounts amounting to php131,044.84 and php119,664.38, respectively, cannot be relied upon. we recommend that management to facilitate the enhancement of the rpts to expedite the preparation of a certified list of taxpayers showing the correct amount of tax due and collectible so that there will be a valid basis for the setting-up.",,partially implemented no report yet was submitted in this office for validation,the management have not yet completed the preparation of certified list of taxpayers,aar 2012 p.20,05-ivana2013_part3-status_of_py's_recommendations.pdf
1647,,6. trust liabilities withheld by the municipality for bir and gsis were not remitted on time in violations of section 2.5 of revenue regulations no. 2-98 and section 6 (b) of the gsis act. we recommend to the municipal accountant and the municipal treasurer to facilitate the full remittance of all bir and gsis contributions particularly those pertaining to prior years. any penalty arising from the delay shall be the personnel liability of both and other officials concerned.,n/a n/a,fully implemented ,the acting accountant remitted the trust liabilities during the year as shown in the financial statement,aar 2012 p.21 ,05-ivana2013_part3-status_of_py's_recommendations.pdf
1648,,"7. funds out of the 20% development fund (df) for programs and projects amounting to p 597,060.60 were not implemented that resulted in the non- realization/delayed enjoyment of benefits that could have been derived by the constituents from finished projects we recommend management to direct the concerned officials to implement the projects immediately under the 20% development fund for the benefit of the intended beneficiaries as projected and planned.",,partially implemented,due to the delay of delivery of materials resulted to the delay implementation of the projects,aar 2012 p.22,05-ivana2013_part3-status_of_py's_recommendations.pdf
1649,,8. hired personnel under the,,not implemented,the management,aar 2012,05-ivana2013_part3-status_of_py's_recommendations.pdf
1651,,"9. fully depreciated property, plant and equipment (ppe) amounting to php 19,546,825.00 were not classified to other asset account, thereby the account property, plant & equipment was overstated. we recommend that fully depreciated property, plant and equipment(ppe) accounts of the agency should be reclassified to other assets account.",n/a n/a,fully implemented ,the necessary adjusting journal entries were prepared ,aar 2012 p.24 ,05-ivana2013_part3-status_of_py's_recommendations.pdf
1680,,"we recommended that management: a. request the officers and employees concerned to liquidate immediately their outstanding advances by:  demanding the immediate refund of excess claims for travel and other claims. otherwise, withhold any money due them until they have settled their obligations as  prepare demand letters to be issued to concerned officials and personnel for the immediate settlement of the other cash advances that remained unliquidated for more than 90 days; b. ensure timely submission of liquidation documents and full accounting of balances of cash advances for travel by:  monitoring strictly the period of liquidating cash advances for travel which shall be within sixty (60) days after return to the philippines, in case of",partially implemented fully implemented,"the size of the workload of the municipal accountant-ico forbids her to implement the recommendations. however, due to coa memorandum dated february 6, 2014, the balance has now decreased to p91,413 ",only verbal request has been done to those officers and employees who are still employed by the municipality the management had informed concerned personnel to timely submit the liquidation documents.,aar cy 2012 p.18 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1681,,we recommended that management - a. instruct the personnel concerned at the supply office to prepare weekly the summary of supplies and materials issued (ssmi) with the requisition and issue slip (ris) as supporting documents that shall be the basis of the accountant in recording the issuances. b. require the accounting department to prepare jev together with the required supporting documents for the inventory accounts which still exist per accounting records but already non-existent per physical count. c. require the accounting department to be diligent in preparing accounting entries for inventories as specified in the manual of ngas for lgus. regular purchases shall be coursed thru the inventory account and issuances thereof shall be recorded as they take,partially implemented partially implemented fully implemented,"there is no existing ledger on hand for medical, dental and laboratory supplies. the amount is a forwarded balance from the years prior to the computerization of the accounting system. due to voluminous task, the reconciliation is still in process with the supply officer.",the inventory for drugs and medicines has been corrected. jevs have been done accordingly. the accounting department required the supply officer to submit the summary of issuances of inventory.,aar cy 2012 p.20 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1682,,we recommend that management: a. require the supply officer to conduct physical inventory of supplies and materials semestrally and submit the same to the auditor’s office as stipulated in section 124 volume i of the manual on ngas for lgus. b. require the personnel concerned at the supply office to maintain and update the property index cards for inventories for easy monitoring of available supplies and to serve as basis for the request and purchase of supplies. c. instruct the accounting personnel concerned to update regularly the subsidiary ledger and reconcile the same to the general account balances to validate accuracy of the reported amount on the financial statement.,fully implemented partially implemented fully implemented,this is still a work in progress ,physical inventory was conducted once in 2013. it is scheduled to be done every six months in the following years. a computer program was done to serve as property index card for easy monitoring. ,aar cy 2012 p.22 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1683,,"a. instruct the accounting and supply department to validate the existence and completeness of the reported unserviceable items for proper disposal. b. adhere strictly with the guidelines stipulated in section 376 and 499 of the government accounting and auditing manual, volume i. c. require the accounting department to prepare jev together with the required supporting documents on the reported lost and unserviceable items.",partially implemented fully implemented partially implemented,new unserviceable items were not yet reclassified due to time constraint. the 2013 books were already closed so these will be adjusted in 2014. there is a need to verify the data.,an inventory team was created to confirm the existence and completeness of these items. an inventory team was created to confirm the existence and completeness of these items.,aar cy 2012 p.23 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1684,,"we recommended that management require the supply officer to conduct physical inventory of items and submit the same to the auditor’s office as stipulated on section 124 of manual on ngas for lgus, volume i.",fully implemented,,"physical inventory was conducted as of december 2013. the report was submitted to coa on february 28, 2014.",aar cy 2012 p.25,10-gubat2013_part3-status_of_pys_recommendations.pdf
1685,,we recommended that the municipal treasurer exert more effort to gather the necessary documents to complete the requirements for the processing of the transfer certificates of title of the subject real property in favor of the municipality. coordination with the proper agency such as the register of deeds shall be made to facilitate the titling and/or transfer of certificate of title in favor of the municipality of gubat.,partially implemented,"lot in barangay buenavista with the market value of p2,064,505 needs certificate of finality.","the court decided in favor of the municipality on civil case no. 1954, (alberto sabater vs. municipality of gubat",aar cy 2012 p.26,10-gubat2013_part3-status_of_pys_recommendations.pdf
1686,,"we recommend that management led by the municipal assessor and municipal treasurer exert their best efforts to establish the ownership over the real properties supposedly belonging to the municipality through physical inventory, verification and reconciliation of municipal assessor’s records, accounting books, actual certificate of titles on hand and coordinate with the land registration authority, register of deeds, for possible reconstitution of titles which were already lost.",partially implemented ,under investigation of denr/cenro. school sites were donated to deped. they are the priority for the special patent. ,an application to denr/cenro r for the special patent was submitted ,aar cy 2012 p.27 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1687,,"we recommended the municipal mayor/assessor/treasurer gather information of documents of ownership of the subject land and exert best effort to establish the ownership over the real properties supposedly belonging to the municipality through coordination with the land registration authority, register of deeds, for possible registration of the land.",fully implemented,,these lots were already declared under in name of the municipality under arp no. 2011-07- 0019-00268and 00277 for the public market and arp no. 2011-07-0001- 00435 for the slaughter house.,aar cy 2012 p. 28,10-gubat2013_part3-status_of_pys_recommendations.pdf
1688,,"we recommended that the - a. municipal development council (mdc) initiate the formulation or updating of its land use plan, in consultation with the concerned sectors in the community. seek the assistance of the local official or field officer of national government agency concerned operating in the lgu. b. the municipal planning and development coordinator (mpdc) and/or the municipal agriculturist provide the technical support services and such other assistance as may be required by the mdc to effectively carry out this function. c. the clup prepared by the mdc be submitted to the sangguniang bayan, as the case maybe, for enactment into zoning ordinance. said ordinance shall be enacted and approved in article 107 of the implementing rules and regulations (irr) of the lgc.",partially implemented partially implemented partially implemented,the quantity and complexity of the digitization process. the quantity and complexity of the digitization process. the quantity and complexity of the digitization process.,"clup was due in 2011. it was late for only 2 years. management is still in the process of updating. at this time, they are in the stage of map digitizing. ",aar cy 2012 p. 30 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1689,,"we recommended that management - a. implement immediately the projects/programs as agreed by both parties and as stated in the memorandum of agreement (moa). the municipality shall use the fund for specific purpose for which it was created, as stipulated in section 309 of ra 7160. b. verify the validity of funds with long outstanding balances. projects/programs should be terminated in accordance with the guidelines or agreement for which they were established and return to the donor/source agency upon the accomplishment and termination of the program or project. c. fund utilization report and subsidiary ledger of each project/program be reconciled monthly to validate the correctness of the balances.",partially implemented not implemented fully implemented,"the remaining project amounting to p1 million was delayed due to the difficulty in finding the suitable source of water. at present, the problem lies in the several failed biddings. oma is still looking for the address of the source agencies. ",projects amounting to a total of p6.3 million were completed in 2013. ,aar cy 2012 p.34 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1690,,"we recommended that the municipal mayor/municipal engineer ensure 100% implementation of the ppas under the 20% development fund as embodied in the annual investment plan of the municipality. we recommended that- a) the municipal mayor/treasurer develop strategies on how to efficiently and effectively collect taxes and consider, among others, to",partially implemented ,delay in the bidding/procurement process. ,at 68% implementation as of 31 december 2013 ,aar cy 2012 p.40 aar cy 2012 p.41,10-gubat2013_part3-status_of_pys_recommendations.pdf
1691,,"we recommended that the municipal accountant maintain special accounts in the general fund and complete subsidiary ledgers, prepare and submit year-end trial balances and financial statements for each special account so that management may be adequately informed on the result of its operation for its appropriate action.",not implemented ,problems in segregation of amounts and data , ,aar cy 2011 p. 25,10-gubat2013_part3-status_of_pys_recommendations.pdf
1692,,we recommended that the planning officer and other concerned municipal officials immediately implement all the targeted or duly funded and/or partially implemented projects and programs on the ensuing year so that the benefits due the constituents will be achieved or delivered and likewise ensure that all its project partake the nature of investment or capital expenditures and take into consideration cost recovery and entrepreneurship.,partially implemented ,the unutilized amounts of p4.2million for schools were reprogrammed to other ppas in 2014. the remaining unutilized amount is for the construction and improvement of public market. ,the projects were mostly completed. ,aar cy 2011 p. 31 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1693,,we recommended that the municipal treasurer and other officials concerned exert more efforts to collect the rentals and business taxes from delinquent market stall occupants in order to generate additional income that will be used for the implementation of other projects/programs of the municipality.,partially implemented,tenants have issued promissory notes in return.,demand letters were issued to tenants. the municipality has encouraged them to pay by extending the due date of the rental payments.,aar cy 2011 p. 32,10-gubat2013_part3-status_of_pys_recommendations.pdf
1694,,"we recommended for the municipal mayor to direct the municipal budget officer or the municipal accountant to conduct the reconciliation of accounting office and budget office’s records on appropriations, allotments, obligations and its balances as of december 31, 2011 and immediately submit the reconciled statement of the same as of said date to the office of the auditor for proper disposition.",fully implemented , , ,aar cy 2011 p. 33 ,10-gubat2013_part3-status_of_pys_recommendations.pdf
1695,,"the local government unit should take proper action on all government properties to be reclassified into its proper account or be disposed, if necessary. the municipal treasurer should submit an official list of inventory report pertaining to unserviceable properties of the municipality, undertake the necessary actions related thereto in accordance with section 79 of pd 1445 and submit the same to the accounting office. likewise, the municipal accountant should draw journal entry vouchers to reclassify the unserviceable/obsolete roperties from ppe account to other assets account to conform with",partially implemented,the management is in process of updating the records.,,aar cy 2009 page 17,10-gubat2013_part3-status_of_pys_recommendations.pdf
1898,,"1. report on the utilization of the local disaster risk reduction management fund (ldrrmf) of the agency was not submitted to the auditor’s office on or before the 15th day of each month for verification in violation of section 12,(c 24) of republic act no. 101211 dated may 27, 2010. we recommended that the local chief executive should require the municipal accountant to prepare and submit the report on the sources and utilization of the disaster risk reduction management fund (drrmf) every 15th day every end of each month.",,not implemented. reiterated in part ii.,management was not able to submit the needed reports due to lack of personnel in the accounting section to do the preparation of the report.,2012 aar page 17,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
1899,,2. members of the bids and awards committee of the municipality were selected not in accordance with the implementing rules and regulations of republic act no. 9184. we recommended to management that the selection of the bids and awards committee shall be in accordance with section 11.2.3 of the implementing rules and regulations of republic act no. 9184.,n/a n/a,implemented. ,management had changed the bac chairman and members of the committee. ,2012 aar pages 17-18 ,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
1900,,"3. job order employees of the lgu were hired but no specific duties and responsibilities were assigned to them to perform their job. we recommended that the local chief executive should limit the hiring of job order employees. management should also evaluate the educational background/qualifications of job order applicants in order that the assigned task would not affect the performance of the municipality as a whole. moreover, review the present workforce and determine the necessity of hiring employees in job order status. for the present job order already employed, assign specific duties and responsibilities and require the accomplishment reports to be attached to the daily time record as basis in paying their wages.",,partially implemented.,management instructed these employees to prepare their monthly accomplishment based on their assigned duties and responsibility to be attached to the payroll.,2012 aar pages 18-19,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
1901,,4. collection and disbursement accounts and other required reports were not submitted every 5th day of the ensuing month in violation of section 100 of pd 1445 thus post audit and verification of financial transactions were delayed. we recommended to management that the municipal accountant should observe the timeframes on the submission of accounts and financial reports to hasten the timely rendition of audit reports and the corresponding audit action on the financial transactions of the agency.,n/a n/a,implemented. ,"the accounting office is undermanned which contributes to the delayed submission of accounts and reports. however, the accounts for the year 2013 were all submitted.",2012 aar page 19 ,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
1902,,5. collections of real property and special education tax for cy 2012 decreased by about 20.5% which is an indication of poor collection efficiency. we recommended that the municipal treasurer’s office exert more effort to collect real property taxes. monitoring and coordination with the respective punong barangay where property is located be undertaken on the uncollected taxes. demand letters shall be sent to the concerned taxpayers to impose collections.,,implemented.,the treasurers’ office exerted efforts in the collection of real property taxes and increased to more or less 228% for the year 2013 compared to that of last year.,2012 aar pages 19-20,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
1903,,"6. the correctness of the property, plant and equipment with a net book value of p35,676,612.80 cannot be ascertained due to the continued inability of management to conduct the physical inventory, maintain property/ledger cards and reconcile records of the municipal accountant’s office and general services office, contrary to sections 119, 120, and 124 of the new government accounting system (ngas) manual, volume i. we recommended that the local chief executive should create an inventory team to conduct a physical inventory of all municipal properties and a report of inventory shall be prepared and submitted to the municipal accountant in order for him to reconcile with his existing records. we further recommended that the accountant and the assigned property custodian should update and reconcile their existing records and effect the necessary adjustments for any discrepancies found during the process of reconciliation. also, all memorandum receipts (mrs) should be renewed every three (3) years pursuant to existing regulations.",n/a n/a,not implemented. reiterated in part ii of the report. ,management was not able to conduct physical count of the ppe and preparation of the report on the physical count of ppe at year end due to lack of manpower. ,2012 aar pages 20-21 ,05-sanpablo_part3-status_of_pys_audit_recommendations.pdf
