,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
1672,"12. the municipality has no approved disaster risk reduction and management plan (drrmp) contrary to section 4(7), rule 6 of the implementing rules and regulations of republic act (r.a.) no. 10121, indicating that the direction, development, implementation and coordination of disaster risk management programs within the municipality has yet to be set. we recommended that management through its designated ldrrm officer formulate and implement a comprehensive and integrated ldrrmp. ",,implemented. through the local disaster risk reduction and management council was done for cy 2013 and incorporated in the annual work and financial plan of the lgu for cy 2013.,,aar cy 2012.,04-stoniño2013_part3-status_of_implementations_of_pys_recommendations.pdf
1673,"13. the municipality fully withheld taxes on goods, services and compensation of personnel but failed to remit the full amount of the balances of the due to the bir account totaling to p1,468,731.00 as of december 31, 2012 due to the absence of any supporting document or subsidiary ledger to support the details of the account. we recommended that the acting municipal accountant trace the details of the monthly general ledger balances of the due to bir account. submit documents to support the details of the unremitted balance of p 1,468,731.00 to prove the correctness of the account due to bir. henceforth, assign permanent accounting personnel who will monitor and reconcile regularly the correctness of taxes due, withheld and remitted to the bir. ",,implemented.,,aar cy 2012.,04-stoniño2013_part3-status_of_implementations_of_pys_recommendations.pdf
1674,"14. the disbursements on three projects funded by the municipality from the 20% development fund amounting to p3.8m were not in accordance with joint memorandum circular no. 2011-1 dated april 11, 2011 which prescribes that all projects to be funded shall contribute to the attainment of desirable socio-economic development and environmental management outcomes and shall partake the nature of investment or capital expenditures. we recommended that management should refrain from using the 20% development fund on projects that would not contribute to the attainment of desirable socio- economic development and environmental management outcomes as prescribed under dbm-dilg joint circular no. 2011-1 dated april 22, 2011. ",,implemented.,,aar cy 2013.,04-stoniño2013_part3-status_of_implementations_of_pys_recommendations.pdf
1677,"17. the non-completion of the construction of the sto. nino water supply and sanitation system due to the failure to monitor accomplishments and undertake remedial measures to avert delay in the construction, impeded the delivery of the government’s priority program on the provision of safe and potable water to waterless communities thus depriving the constituents the immediate benefits they would have derived had the project been completed as planned. we recommended that management should immediately require the contractor to complete the project and demand for the payment of liquidated damages as a result of the delays in the fulfillment of the contract. ",,not implemented.,,aar cy 2012.,04-stoniño2013_part3-status_of_implementations_of_pys_recommendations.pdf
1678,18. some programs/projects under the municipality’s 20% development fund were not implemented thereby depriving the constituents the immediate benefits they would have derived had the projects been successfully implemented. the unimplemented projects of the municipality. the projects under the 20% development fund should be properly carried out and monitored. the funds which were properly appropriated should be spent judiciously and only for the very purpose or purposes for which these funds were intended. we also recommended that management should make a thorough review of the programs and projects that are not yet implemented and propose for the revision of those undertakings that are no longer viable. ,,implemented. out of the p3.8m allotted for the construction of various projects the construction of water supply system amounting to p2m was started in cy 2012 was implemented in cy 2013.the rest for the purchase of garbage truck and installation of mechanical dryer was re aligned for the rehabilitation of sidiran-ssan manuel road implemented and completed in cy 2013.,,aar cy 2013.,04-stoniño2013_part3-status_of_implementations_of_pys_recommendations.pdf
1714,"1. the correctness of the cash in bank account balance of p13,846,719.55 was not reliable due to non-preparation of bank reconciliation statements for two consecutive years cys 2011 and 2012 contrary to coa circular no. 96-011. we recommended that management require the municipal accountant to prepare and update the bank reconciliation statements to ascertain the reconciling items and bring into agreement the balances per book and per bank. 2. cash advances totaling p17,461,854.29 were not liquidated as of year-end contrary to coa circular 97-002, thus resulting in the overstatement of assets and understatement of the current year expenses/overstatement of the government equity for prior years’ expenses. we recommended that management (a) require the immediate liquidation of outstanding cash advances of all the accountable officers concerned; (b) grant cash advances only for specific purpose and for expenses which are difficult, impractical or impossible to be paid by check; (c) monitor the granting and liquidation of cash advances and refrain from granting additional cash advances unless the previous ones is liquidated/settled; (d) refrain from the granting of cash advances to ",,not implemented not implemented,,aar 2012 aar 2012,09-sasmuan2013_part3-status_of_py's_recommendations.pdf
1740,"1 2 land where buildings and other structures constructed/owned by the municipality were not yet transferred and titled in the name of the local government unit. furthermore, same were not recorded in the books of accounts of the municipality thus, understating the property, plant and equipment as of december 31, 2011 in violation of section 23(2), title i-book v, of the administrative code of 1987. it was recommended that the land where buildings and other structures owned by the municipality were erected be transferred in the name of the lgu of sanchez mira. the officials concerned should coordinate with the concerned government authorities to facilitate titling of the land, so that the ownership thereto could be properly secured and to avoid future litigations against the municipality by unknown claimants. the assessed value of the land should likewise, be recorded in the books of accounts. expenses amounting to p1,288,147.45 were incurred for job orders, which were hired for no apparent specific project that were approved by the sangguniang bayan, in contravention of section 77 of r.a. 7160 and csc res. no. 02- 1480. it was recommended that the local chief executive revisit the ",,implemented implemented,"it was already transferred in the name of the municipality as per certificate of title no. t-15913(s), cadastral lot no. plan dsu- 172313, lrc case no. s-17, lrc rec no. 39093 said amount was duly appropriated/ budgeted in the mooe since the lgu was constrained to hire regular employees due to ps limitation. furthermore, there was a need for manpower, hence,",aar cy 2011 findi ng 1 no. pp.13 -14 aar cy 2011 findi ng no. 5 pp. 19-21,03-sanchezmira2013_part3-status_of_pys_audit_recomm.pdf
1793,"1 2 3 balance of cash in vault in the amount of p 115,050.82 representing collections turned over by the collectors to the municipal treasurer were not deposited intact as of december 31,2012 with the authorized depository bank in violation of coa circular no. 92-382 dated july 3, 1992. we recommended that the municipal treasurer should promptly deposit all collections for proper management of the cash collections of the local government unit in order to avoid misappropriation of government funds. cash advances granted to officials and employees were not liquidated in accordance with the pertinent provisions of coa circular no. 2012-004 dated november 28, 2012 which resulted to unliquidated cash advance amounting to p176,830.03 at year end which could have been used to finance priority projects of the lgu. we recommended that the municipal accountant should send demand letters to those with outstanding cash advances and the municipal treasurer to refund the excess amount stated in the schedule of payroll fund. loans receivable – others representing “livelihood loans” ",,implemented partially implemented and reiterated in finding no.3 not implemented and,"the recommendation was implemented. the cash on hand balance was deposited on january 3, 2014 the municipal accountant sent demand letters to the officials and employees. some of them are salary deduction. lgu sta. praxedes",aar cy 2012 findi ng no. 1 p. 16 aar cy 2012 findi ng no. 2 pgs. 17-18 aar cy,03-stapraxedes2013_part3-status_of_pys_audit_recommendations.pdf
1794,"4 with an aggregate amount of p562,749.80 have been outstanding from eight to seventeen years due to the laxity in enforcing collection from the beneficiary, thereby depriving the municipality of the much needed funds for its operations. we recommended that management exert effort to collect from those recipients whose addresses are known. furthermore, if the municipality could no longer collect, considering the long number of years that had already passed, the local chief executive should initiate the filing of request to write-off the long-outstanding receivables where collection could no longer be made. all necessary documents such as the basic letter request supported with proof of collection efforts of management and with the appropriate sanction of the sangguniang bayan be submitted to support the request for write- off. the lots apparently owned by the local government unit with a ledger balance amounting to p1,429,337.22 as of december 31, 2012 are not yet titled in favor of the municipality in violation to section 23 (2) title i, subtitle b of the administrative code of 1987. we recommended the local chief executive to instruct the concerned officials to facilitate the preparation of the necessary ",,reiterated in finding no. 4 not implemented and reiterated in finding no. 6,exerted efforts to collect and locate the debtor. the lgu sent demand letters to the borrowers. management still in the process of acquiring documents.ion.,2012 findi ng no. 3 pgs. 18-19 aar cy 2012 findi ng no. 2 pgs. 19-20,03-stapraxedes2013_part3-status_of_pys_audit_recommendations.pdf
1984," the municipal engineer should be required to submit the above mentioned documents together with the attachment and strictly comply with coa circulars no. 96-010, 2005-27 and 2009-001. furthermore, it is required that the project documents and status report as of december 31, 2012 be accomplished and submitted to auditor’s office for review, evaluation and inspection. the office of the municipal mayor should be requested to submit the copy of contracts, memorandum of agreements, purchase orders and its supporting papers to the audit team on the prescribed period, including resolutions and ordinances related thereto. ",,,,"part ii, observati on no.3, page 24 to 26, cy 2012 aar",culion2013_audit_report.pdf
1986, we recommended that each department/offices prepare and submit its individual project procurement management plan within the time prescribed by law in order for the bac secretariat to have enough time for the consolidation of app and the approval by the local chief executive as required under section 7.4 of the irr of ra 9184. ,,,,"part ii, observati on no. 5, page 30 to 31,cy 2012 aar",culion2013_audit_report.pdf
1987," we recommended that the ldrrmo, municipal treasurer and accountant must comply with the implementing rules and regulations of r. a. no. 10121 and coa circular 2012-002 dated september 12, 2012 particularly in the transfer of unexpended/unobligated balance of the qrf and the drrmf- mooe to the special trust fund and the preparation and submission of the monthly report on sources and utilization of disaster risk reduction and management fund. ",,,,"part ii, observati on no.6,pag e 31 to 32, cy 2012 aar",culion2013_audit_report.pdf
1989, the audit team recommended to the chief executive for the institutionalization of gad in the municipality and the integration thereof to its overall annual plans and programs. proper gad implementation shall likewise be observed in compliance with the provisions of dbm-neda- ncrfw joint circular no. 2004- 1. ,,,,"part ii, observati on no.8, page 34 to 37, cy 2012 aar",culion2013_audit_report.pdf
1998,"1. cash in vault in the amount of p1,101,528.29 was not remitted at the end of the year in violation of coa circular no. 92-382 dated july 3, 1992 and section 32, volume i of the manual on the new government accounting system (mngas) for local government units.. ",,this audit observation is reiterated under finding no. 1 of part ii of this aar,not acted upon by management,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
1999,"2. the accuracy of the balance of the cash in bank account amounting to p21,704,162.42 remained doubtful due to the late submission of the monthly bank reconciliation statements and non- updating of cashbooks in violation of section 74 of presidential decree no. 1445 and coa circular no. 96-011 dated october 21, 1996 ",,this audit observation is reiterated under finding no. 3 of part ii of this aar,not acted upon by management.,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
2000,"3. cash advances granted to local officials and employees amounting to p117,309.00 remained unliquidated at the end of the year in violation of section 89 of p.d. no. 1445 and section 5.8 of coa circular no. 97-002 dated february 10, 1997. ",,this observation is reiterated under finding no. 7 of part ii of this aar,,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
2001,"4. the general service office failed to submit the annual physical inventory report of property , plant and equipment valued at p60,264,875.33 and reconcile with the accounting records in violation of section 124 of the new government accounting system, vol. 1, thus, the existence, condition, whereabouts and validity of the ppe accounts could not be ascertained. ",,this observation was not implemented due to non-updated and non-reconciled cashbooks and lacking documents for the reconciliation. the recommendation is reiterated in finding no. 2 of part ii of this report.,,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
2002,"5. procurement of goods and services amounting to p1,654,727.96 were not supported with inspection and acceptance reports which is a sign of weakness in internal control in the procurement and non adherence to standard government procedures and policies. ",,.,implemented,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
2003,"pro 6. procurement of goods and services totalling to p3,697,477.12 in amount exceeding the threshold were not subjected to public bidding in violation of section 52.1 (b) of the implementing rules and regulations (irr) of republic act 9184, thereby, precluding the municipality from availing the most advantageous price offered by suppliers through competitive bidding. ",,satisfactorily implemented,implemented,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
2004,"pro 7. the municipality procured goods and services amounting to p1,021,135.60 without canvass of at least three price quotations from bonafide suppliers in violation of section 52.1 and 52.3 of the revised implementing rules and regulations (irr) of republic act no. 9184. thus, the reasonableness of the price of commodities procured had not been ascertained. ",,satisfactorily implemented,,cy 2012 aar,05-enrile2013_part3-status_of_pys_recommendations.pdf
2016,"the inventory committee did not conduct the required physical inventory of property, plant and equipment (ppe) as required under section 124 of the manual of new government accounting system (ngas) thus creating doubts as to the existence of the properties and correctness of the p127,378,649.46 ppe accounts balances in the financial statements. we recommend that the management should require the inventory committee to prioritize the conduct of physical count on all properties of the municipality, reconcile the results thereof to the accounting records and submit the report thereon to the audit team. ",,partially implemented. reiterated as finding # 8 of this report,the management committed to finish the physical inventory of the ppe until the end of april 2013 as the inventory count has already started,2012 1. aar finding # 1,01-dingras2013_audit_report.pdf
2018,"subsequent cash advances were granted eventhough previous cash advance was not settled and 95% of the unliquidated cash advance of p788,045.22 or p751,102.04 were aged more than 365 days which is not in accordance with sections 4.12 and 5.1 (3 & 7) of coa circular 97-002 thus resulted to understatement of expenses in the financial statements and possible misuse of government funds. we recommend for the strict compliance to the provisions of coa circular no. 97-002 and for the immediate liquidation of the cash advances. ",,partially implemented the management is now complying with coa circular no. 97-002 and that no cash advance is granted without first liquidating his/her previous cash advances. as for the inactive employees they still have to issue demand letter as this comprises the larger amount of outstanding cash advances.,"the cash advances as of december 31, 2011 will be settled until the end of march for the active employees and for the inactive employees, the management will issue demand letters. the management also committed to strictly comply with coa circular no. 97-002.",2012 3. aar finding # 3,01-dingras2013_audit_report.pdf
2020,"out of fifteen (15) accounts with various depository banks, only one account was with bank reconciliation statements as at year end and adjustments requiring debit and credit to cash amounting to p565,898.20 and p160,521.83 respectively were not recorded in the books as required under items 3.2 and 3.3 of coa circular 96- 011, thus the balances of cash accounts in the financial statements are unreliable. we recommend management to determine and address the reason/s for non compliance. also, require the municipal accountant to file a written request for the copies of related debit and credit advices to the bank and verify from prior years’ records in order to establish validity of long outstanding reconciling items so that the necessary adjustments could be recorded in the municipal books. ",,partially implemented reiterated as finding # 1 of this report,seven more accounts had been already submitted and the rest to follow the soonest possible time. accounting has committed to do the bank reconciliations of all bank accounts before the year ends.,2012 5. aar finding # 5,01-dingras2013_audit_report.pdf
2022,"the propriety of the expenditures incurred for job order employees could not be evaluated due to absence of supporting documents which is not in accordance with section 4(6) of pd 1445. we recommend for the submission of the payrolls for job order employees, statement of the work to be performed, job description and accomplishment reports in order to have adequate basis in establishing the propriety of the related disbursements. ",,implemented,"the payroll summary form the lgu is now using already indicates job description and work accomplishment. also, the human resources have submitted the list of job orders with the corresponding area of concern together with job descriptions and details of job duties and responsibilities.",2012 7. aar finding # 7,01-dingras2013_audit_report.pdf
2024,"monthly report of official travels and monthly report of fuel consumption were not prepared and gasoline, oil and lubricant expenditures were not supported with properly filled-up trip tickets as prescribed under coa circular no. 77-61 dated september 26, 1977, thus the utilization of government vehicles and consumption of fuel and lubricants may not be properly controlled. we recommend for the agency’s compliance to the provisions of coa circular no. 77-61. ",,implemented.,"summary report is being prepared for every payment of gasoline consumption and this is attached to the voucher. accounting office ensures that before payment of gasoline consumption, all the supporting documents including properly filled-up trip tickets are complete.",2011 aar finding # 7,01-dingras2013_audit_report.pdf
2025,payments of regular expenses were made through the petty cash fund which is not in accordance with coa circular no. 97-002 thus resulted in inefficient administration of the fund. we recommend that the municipality should: a.consolidate the purchase request for mineral water and supplies so that payment shall be made directly to the supplier b. pay the water dispenser in full directly to the supplier and record in the books as other equipment c.strictly follow the guidelines in disbursing the fund ,,partially implemented reiterated as finding # 13 of this report,management committed to follow coa recommendation.,2011 aar finding # 8,01-dingras2013_audit_report.pdf
2026,"notices of award for the contracts on the procurement of goods and infrastructures were not posted in the philgeps which is not in accordance to section 37.1.6 of the implementing rules and regulations (irr) of ra 9184 and section 3 (i) of the government procurement policy board (gppb) resolution no. 09-2009, thus, defeating its purpose to establish transparency in the procurement process. we recommend that the bids and awards committee (bac) should strictly adhere to the provisions of the irr of ra 9184 and the aforementioned resolution ",,implemented.,"during the exit conference, management informed the audit team that the notices of award after the issuance of this observation were already posted in the philgeps and committed to do the same for the succeeding transactions.",2011 aar finding # 11,01-dingras2013_audit_report.pdf
2028,20% development fund for cy 2011 was not fully utilized thus timely benefits that should have been due the beneficiaries were not delivered. we recommend that the agency should fully implement projects under the 20% development fund so that expected benefits due to beneficiaries/constituents will be delivered. ,,implemented,management commented that all the specified projects were almost implemented. the remaining balances are labor costs which are not yet paid due to unforeseen time adjustment for the implementation of the projects. the management always committed to maximize if not fully implemented the programs and activities under the 20% development fund.,2011 aar finding # 13,01-dingras2013_audit_report.pdf
2029,"daily time records (dtrs) were not attached to the payrolls. this hindered the complete audit and verification of payrolls, resulting to suspension in audit. we recommend that employees in charge of payroll preparation should ascertain that supporting dtrs of employees are complete to avoid suspension in audit. the “no dtr, no salary” policy should be adopted to enforce full compliance. ",,partially implemented reiterated as finding # 16 of this report,management promised to implement the recommendation.,2010 aar finding # 5,01-dingras2013_audit_report.pdf
2030,the balances of due from and due to other funds accounts were not reconciled as of year-end thus affecting the fair presentation of the financial statements. we recommend the municipal accountant to always reconcile the due from and due to other fund accounts for a fair presentation of the financial statements. ,,partially implemented reiterated as finding # 6 of this report,accounting committed to reconcile but it will take some time to do it as it pertains to prior years’ transactions.,2010 aar finding # 6,01-dingras2013_audit_report.pdf
2031,"out of the p10,538,266.28 that was appropriated by the municipality for the 20% development fund for cy 2010 hence, depriving the intended beneficiaries of the benefits expected there from. we recommend that officials responsible for the implementation of programmed projects under the 20% development fund shall observe efficiency in planning to ensure that all development programs are implemented within the year the fund was appropriated. ",,implemented,management committed to fully utilize the amount appropriated for the 29% development fund in the succeeding years and to fully maximize the implementation of the 20% development plan.,2010 aar finding # 8,01-dingras2013_audit_report.pdf
2033,"a huge part of the accounts payable account amounting to p 441,300.00 was obligated for additional cash gift of the officials and employees of the municipality for the year 2007 despite the undesirable liquidity ratio and going beyond the ps cap for the year. we earnestly recommend that the additional cash gift granted by the municipality amounting to p441,300.00 be immediately refunded by the concerned officials and employees. ",,"partially implemented a total amount of php 121,792.66 have been collected.",it was agreed that the management will set a reasonable amount to be deducted from the monthly salaries of employees until such time the whole amount of refund will be collected. such disallowances are being deducted from employees’ salaries starting november 2011.,2007 aar finding # 1,01-dingras2013_audit_report.pdf
2034,"the disallowance caused by the adoption of the municipality of a higher salary schedule from third class to second class even going beyond the ps cap was not yet settled by the concerned officials and employees contrary to section 9.1 (b) and 19.1.4 of the manual on certificate of settlement and balances thus, exposing government funds to possible loss. the disallowed salary increase must be refunded by the concerned officials and employees through salary deduction immediately and the accounting department should record the disallowance in the books of the agency. ",,"partially implemented. a total amount of php 384,872.63 have been collected.",the disallowance to be deducted from salaries and full amount will be refunded from retiring employees. such disallowances are being deducted from employees’ salaries starting november 2011. full deduction of the disallowances will be,2007 aar finding # 2,01-dingras2013_audit_report.pdf
2035,"the total land and government equity accounts for the period were both misstated by p 475,939.83due to non adjustment by the municipal accountant of the values of the recorded parcels of land in the accounting books for the period. we recommend that the municipal accountant must record the understatement of the value totaling p 475,939.83 in order that the land account will be adjusted as of december 31, 2007. ",,partially implemented. office had already coordinated with the assessor’s office for the reconciliation. the accounting office and assessor’s office still has to reconcile as to the correct valuation of the land owned by the municipality and then effect the adjustments accordingly.,the management committed to comply with the audit team’s recommendation. the accounting office and assessor’s office still has to reconcile as to the correct valuation of the land owned by the municipality and then effect the adjustments accordingly.,2007 aar finding # 7,01-dingras2013_audit_report.pdf
2065,"8. the accounts of the lgu for the cy 2012 were only submitted to the commission on audit on march 6 and 7, 2013 which is not in accordance with existing laws, rules and regulations, hence the municipal accountant may be held liable administratively or criminally for non- compliance. we recommended that the municipal accountant should cause the immediate submission of the accounts of the lgu in compliance with existing laws, rules and regulations. ",,,,"aar 2012 observ ation no.8, pages 30-31",05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2072,"16. real property tax receivables and special education tax receivables were not set- up at the beginning of the year contrary to the provisions of section 20 of the manual on the new government accounting system for local government units, volume i. we recommended that the municipal mayor should require the municipal treasurer to find ways and means on how to facilitate the preparation and submission of the duly certified list of taxpayers. the municipal treasurer should coordinate with the municipal assessor to come up with the required list. 1. the balance of cash in bank reflected the financial statements under general fund in the amount of p7,874,548.02 could not be ascertained and relied upon due to: a. erroneous and unrecorded disbursement, deposits and bank debit memos in the general ledger and cash book amounting to p1,881,402.48 p4,352,287.20, respectively, hence, books do not reconcile. b. non preparation of bank reconciliation statement, a violation of section 74 of pd 1445. we recommended that the municipal treasurer and the ",,,,,05-delfinalbano2013_part3-status_of_pys_audit_recommendations.pdf
2097,"1.taxes withheld from employees, contractors and suppliers were remitted promptly and regularly to the bureau of internal revenue in compliance with revenue regulation no. 2-98 dated april 17, 1998, thus the national government was benefited on the immediate use of the much needed funds. we recommend that the municipal treasurer and the municipal accountant should continue remitting within the reglamentary period the amount due to the bir pursuant to revenue memorandum circular 23-2007 dated march 20, 2007 so that the national government will make a timely use of its fund. 2.the additional one percent (1%) share from real property taxes due the special education fund was fully allocated, utilized, managed and expended in accordance with applicable laws, rules and regulations. we recommend management to coordinate with deped officials whenever they will hire teachers to be funded from the local school board to avoid duplication and excess of teachers in a particular school. keep up the good work. 3.the allocation and utilization of the local disaster risk reduction management fund was in accordance with republic act 10121. we recommend that management to continue the job well done. 4.cash advances granted to officers and employees amounting to p10,503,356.05 remained unliquidated although the purpose for the grant of these cash advances have long been completed thus, exposing the funds to the  current year appropriation: ",,fully implemented fully implemented fully implemented not implemented additional cash advances were granted even previous cash advances were not liquidated. reiterated as finding no. 3 of this report balance ,taxes withheld was remitted on time thru the bir utilization of the sef was in accordance with the local school board budget the allocation and utilization of the local disaster risk reduction management fund were in accordance with the ldrrm plan demand letters were sent to officials and employee’s with outstanding cash advances available ,2012 aar 2012 aar 2012 aar 2012 aar particulars ,05-diffun2013_part3-status_of_py's_recommendations.pdf
2145,"13. the compromise agreement between the provincial treasurer of nueva vizcaya and twelve delinquent realty taxpayers to the amount of p196,545.11 was effective in enforcing collection, thereof. we recommended and management agreed that this compromise agreement of enforcing collection of the delinquent realty taxes of p7,270,469.65 as of december 31, 2012, be continued. it shall be applied to all and not to selected taxpayers only. ",,partially implemented.,management continuously adopts the compromise agreement to enforce collection of delinquent rpt receivables.,aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2146,"1. the bank reconciliation statements of the four bank accounts of the municipality were not submitted to support the cash in bank balance of p1,333,758.76 as required under coa circular no. 96-11 dated october 2, 1996, therefore accuracy of cash account was doubtful. we recommended and the accounting office agreed to reconcile the bank statements of the four bank accounts of the municipality with its general ledgers on cash and submit copies of the bank reconciliation statements to the auditor, in compliance to coa circular no. 96-11. ",,partially implemented. adjusting entries to be taken up. reiterated as finding no. 3 of part ii of this report.,"bank reconciliations as of the current year 2013 were already updated. likewise, monthly reconciliation for cy 2014 was made as mandated.",aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2148,"3. the portion of the long-term loans payable (credit financing) account that was due for payment in the year 2013 amounting to p1,762,776.04 was not reclassified to current liability as of december 31, 2012 as favored under international accounting standard (ias) no. 1 (60), therefore, the long-term and current liabilities accounts were both misstated. we recommended and the accounting office agreed to reclassify the portion of the long- term loans payable that is due for payment in cy 2013 of p1,762,776.04 to a current liability as favored by ias no. 1 (60). therefore, the liability accounts would be presented in accordance with ias i (60). ",,not implemented. reiterated as finding no. 8 of part ii of this report.,no reclassification was made for cy 2013.,aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2150,"5. the balance of the cy 2012 local disaster risk reduction management fund of p2,455,905.55 was not transferred to the trust fund books as of year-end, contrary to the provision of coa circular no. 2012-002 dated september 12, 2012. we recommended and the municipal accountant agreed to establish the details of the unexpended balance of the ldrrmf of p2,455,905.55 for cy 2012 and transfer the balances of the qrf and mooe to the trust fund books as required under coa circular no. 2012- 002. ",,fully implemented.,the ldrrmf was transferred to trust fund and adherence to disbursement of funds has been complied with and approved by the council.,aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2152,"7. the amount spent on gender and development programs/projects/activities was below the required five percent of the year 2012 total appropriations, therefore, commitment to empower women and promote gender equality in the municipality was at moderate level only. we recommended that management observe that at least five percent of its annual budget is utilized on gad programs/projects/activities to promote gender equality in the locality as required under paragraph 2.3 of joint circular no. 2004-1 of the dbm, neda and ncrfw. further, proper identification of gender issue through the procedures mentioned under the afore cited guidelines shall be followed. ",,fully implemented.,management upheld the implementation of gender and development programs/projects in compliance with the 5% requirement.,aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2154,"9. settlement of the prior and current years audit disallowances totaling p224,255.82 had not been enforced contrary to the provision of section 7.1.1 of coa circular no. 2009-006. we recommended that the local chief executive enforce settlement of the above audit disallowances that has become final and executory in compliance with coa circular no. 2009-006. however, a request for dropping from its books of accounts may be sought from the commission, especially those prior years’ audit disallowances amounting to p150,647.82 that are not properly documented. ",,partially implemented.,"management has collected p28,754.00 out of the total disallowance.",aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2156,"11. the cash transferred from dswd for supplementary feeding program and cash for work assistance were not properly utilized to purposes these were intended contrary to section 84 (2) of pd no. 1445. we recommended that the local chief executive ensure that trust funds are utilized for purpose/s these were released to the municipality. further, explanation is sought why concerned municipal officials should not be sanctioned for allowing this practice, particularly the municipal treasurer. ",,fully implemented.,"management has collected the amount utilized by the accountable officer for other purposes other than the supplemental feeding program. subsequently, the programmed and funded activities were fully implemented. moreover, target beneficiaries were able to receive the services intended for them.",aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2157,"12. the loans payable-domestic account amounting to p3,686,579.28 was overstated by p60,010.97, thereby overstating government equity account also by the same amount as of december 31, 2012. we recommended and the accounting office agreed to draw a journal entry voucher to take-up adjustments by debiting the prior years adjustment account and crediting loans payable- domestic account for p60,010,97. therefore, the loans payable and government equity accounts would be reported at its true values. ",,fully implemented.,adjusting entry to correct this was made by the accounting office.,aar 2012,05-diadi2013_part3-status_of_py's_recommendations.pdf
2231," we recommended that the municipal budget officer, accountant and the local finance committee should perform a thorough review and evaluation of the budget, whether annual or supplemental prior to its submission to the sangguniang bayan to ensure that all ps items are properly identified and classified as ps and that the appropriations for ps items shall not exceed the ps limitation at any point in time during budget year, in compliance with section 325(a) of ra 7160 and lbc no. 98 dated october 14, 2011. ",,,,"part ii, observati on no. 4, page 24 to 26, cy 2012 aar",cuyo2013_audit_report.pdf
2233," we recommended that documents particularly the bac resolution recommending the resort to direct contracting method and explanation or justification for the deficiencies/violation discussed above be submitted to coa for evaluation. an inspection should likewise be conducted to determine that the price paid for the pumpboat acquired is reasonable and that the technical specifications of the pumpboat delivered is actually suitable for use in seaborne patrolling. for all the procurement activities henceforth, the municipality should undertake strictly in accordance with ra 9184. ",,,,"part ii, observati on no.6,pag e 27 to 29, cy 2012 aar",cuyo2013_audit_report.pdf
2286,"3. the contract service of a private lawyer was not in accordance with the requirements of coa circular no. 98-002. we recommend management to comply with coa circular 98-002 on prohibition against employment by local government units of private lawyers to handle their legal cases and section 481 of r.a. 7160. moreover, submission of copy of all government contracts to this office for review, is required under coa circular 2009-001 to avoid the same observation on other future contracts of the municipality. ",,implemented,,aar 2012,05-cordon2013_part3-status_of_pys_recommendations.pdf
2290,"7. loans payable amortization of the municipality were not being paid despite its yearly appropriation for debt servicing. matured balance of the loan totals to p18,790,625.61. management is recommended to conform with the premises/repayments scheme of any the loan agreement it has entered into. an appropriation for debt servicing is a mandatory requirement in the preparation of the annual budgets, hence repayments thereof should be made as appropriated. ",,not implemented reiterated in finding no. 4,"an on-going case have been filed by the pnb against the municipality in rtc branch115, pasay city under civil case no. r- psy-09-01901-cv",aar 2012,05-cordon2013_part3-status_of_pys_recommendations.pdf
2292,"9. irregular grant of donations and financial assistance was observed in the operations of the municipality during the year. in addition, sangguniang bayan members grant donations in contrary to their functions stated under section 447 of r.a. 7160. the team recommends that all donations should be granted thru the evaluation of the dswd to determine and identify the necessity of the grants to its beneficiaries. sanggunian members should not be allowed to extend this services to the constituents in compliance with provisions of r.a. 7160. said activity may conflict with their functions as the legislative, for the review and as the approving body of the financial operations of the municipality. ",,partiallyimpleme nted,,aar 2012,05-cordon2013_part3-status_of_pys_recommendations.pdf
2341,"1. cash in vault balance of p894,926.54 remained undeposited at year end in violation of sections 31 and 32 of the manual on the new government accounting system (mngas) for lgus thereby exposing government moneys to high risk of loss. moreover, the foregoing balance of cash in the books could not be verified due to the absence of bank reconciliation statement, hence the amount is unreliable. we recommended that management prepare and submit bank reconciliation statement. ",,fully implemented,submitted the needed bank reconciliation for evaluation,2012 aar,05-dupaxdelnorte2013_part3-status_of_py's_recommendations.pdf
2344,"4. advances given to officers and employees were recorded under the accounts due from officers and employees and accounts payable at the same time, resulting to overstatement of the payable account of the municipality and misleading financial statements. we reiterate our previous recommendation that the municipal accountant should immediately rectify the affected accounts so that their correct balances will be reflected in the financial statements. ",,fully implemented,the accounts payable account was adjusted by management to reflect the truthful balance thereof.,2011 aar,05-dupaxdelnorte2013_part3-status_of_py's_recommendations.pdf
